#Wavelength (cm)	Flux (erg s-1 cm-3)
1e-05	1476601978.6308112
1.0005e-05	1490988571.7844923
1.00100025e-05	1505382358.2347505
1.0015007501249999e-05	1519783341.5782354
1.0020015005000623e-05	1534191525.4133906
1.0025025012503123e-05	1548606913.3404624
1.0030037525009374e-05	1563029508.9615011
1.0035052543771878e-05	1577459315.880346
1.0040070070043764e-05	1591896337.7026541
1.0045090105078785e-05	1606340578.035872
1.0050112650131324e-05	1620792040.4892588
1.0055137706456389e-05	1635250728.6738677
1.0060165275309616e-05	1649716646.2025702
1.006519535794727e-05	1664189796.6900363
1.0070227955626243e-05	1678670183.752749
1.0075263069604055e-05	1693157811.0089903
1.0080300701138856e-05	1707652682.0788603
1.0085340851489426e-05	1722154800.5842674
1.009038352191517e-05	1736664170.1489282
1.0095428713676127e-05	1751180794.3983684
1.0100476428032965e-05	1765704676.9599357
1.0105526666246981e-05	1780235821.462782
1.0110579429580105e-05	1794774231.5378819
1.0115634719294895e-05	1809319910.818019
1.0120692536654542e-05	1823872862.937794
1.0125752882922869e-05	1838433091.5336313
1.013081575936433e-05	1853000600.243764
1.0135881167244011e-05	1867575392.7082522
1.0140949107827633e-05	1882157472.568975
1.0146019582381546e-05	1896746843.4696238
1.0151092592172736e-05	1911343509.0557237
1.0156168138468821e-05	1925947472.9746175
1.0161246222538055e-05	1940558738.875471
1.0166326845649323e-05	1955177310.4092736
1.0171410009072148e-05	1969803191.2288463
1.0176495714076684e-05	1984436384.9888291
1.0181583961933721e-05	1999076895.3456895
1.0186674753914688e-05	2013724725.9577284
1.0191768091291644e-05	2028379880.4850738
1.019686397533729e-05	2043042362.589682
1.0201962407324957e-05	6028484431.246317
1.0207063388528619e-05	16364583835.101257
1.0212166920222883e-05	26705851288.65943
1.0217273003682993e-05	37052289375.9424
1.0222381640184834e-05	47403900682.26927
1.0227492831004925e-05	57760687794.249855
1.0232606577420428e-05	68122653299.78807
1.0237722880709138e-05	78489799788.07852
1.0242841742149492e-05	88862129849.61339
1.0247963163020567e-05	99239646076.17892
1.0253087144602076e-05	109622351060.85556
1.0258213688174376e-05	120010247398.02466
1.0263342795018462e-05	119301028393.1415
1.026847446641597e-05	112655672787.79887
1.0273608703649178e-05	106006994504.65369
1.0278745508001002e-05	99354991882.3671
1.0283884880755002e-05	92699663258.76881
1.0289026823195379e-05	86041006970.85934
1.0294171336606976e-05	79379021354.80556
1.029931842227528e-05	72713704745.94287
1.0304468081486416e-05	66045055478.77744
1.0309620315527159e-05	59373071886.97746
1.0314775125684922e-05	52697752303.38185
1.0319932513247765e-05	46019095059.99368
1.0325092479504388e-05	39337098487.98465
1.0330255025744139e-05	32651760917.690567
1.0335420153257011e-05	25963080678.60927
1.0340587863333639e-05	19271056099.409317
1.0345758157265306e-05	12575685507.919083
1.0350931036343938e-05	7076389549.260878
1.035610650186211e-05	7041697348.909971
1.0361284555113042e-05	7006987802.458889
1.0366465197390597e-05	6972260901.2345915
1.0371648429989291e-05	6937516636.559679
1.0376834254204286e-05	6902754999.752423
1.0382022671331387e-05	6867975982.126773
1.0387213682667053e-05	6833179574.9923
1.0392407289508385e-05	6798365769.654266
1.039760349315314e-05	6763534557.413558
1.0402802294899715e-05	6728685929.566737
1.0408003696047164e-05	6693819877.405992
1.0413207697895187e-05	6658936392.219162
1.0418414301744134e-05	6624035465.289739
1.0423623508895005e-05	6589117087.8968525
1.0428835320649452e-05	6554181251.315272
1.0434049738309776e-05	6519227946.815395
1.043926676317893e-05	6484257165.663271
1.0444486396560519e-05	6449268899.120575
1.0449708639758799e-05	6414263138.4446
1.0454933494078678e-05	6379239874.888291
1.0460160960825716e-05	6344199099.700209
1.0465391041306128e-05	6309140804.124529
1.047062373682678e-05	6274064979.401059
1.0475859048695193e-05	6238971616.765231
1.048109697821954e-05	6203860707.448084
1.0486337526708649e-05	6168732242.676274
1.0491580695472002e-05	6133586213.672085
1.0496826485819737e-05	6098422611.653393
1.0502074899062647e-05	6063241427.833682
1.0507325936512178e-05	6028042653.422063
1.0512579599480434e-05	5992826279.623241
1.0517835889280174e-05	5957592297.637515
1.0523094807224814e-05	5922340698.660801
1.0528356354628426e-05	5887071473.884598
1.053362053280574e-05	5851784614.496008
1.0538887343072141e-05	5816480111.677729
1.0544156786743677e-05	5781157956.608031
1.054942886513705e-05	5745818140.4608
1.0554703579569616e-05	5710460654.405504
1.0559980931359401e-05	5675085489.607171
1.056526092182508e-05	5639692637.226446
1.0570543552285992e-05	5604282088.419523
1.0575828824062135e-05	5568853834.338201
1.0581116738474165e-05	5533407866.129838
1.0586407296843401e-05	5497944174.937377
1.0591700500491821e-05	5462462751.899319
1.0596996350742067e-05	5426963588.149735
1.0602294848917437e-05	5415391661.739226
1.0607595996341894e-05	5435170394.149593
1.0612899794340065e-05	5454959015.926169
1.0618206244237235e-05	5474757532.013636
1.0623515347359354e-05	5494565947.359146
1.0628827105033032e-05	5514384266.912323
1.0634141518585548e-05	5534212495.625281
1.063945858934484e-05	5554050638.452595
1.0644778318639512e-05	5573898700.35132
1.0650100707798832e-05	5593756686.280998
1.0655425758152731e-05	5613624601.203642
1.0660753471031808e-05	5633502450.083747
1.0666083847767323e-05	5653390237.888288
1.0671416889691207e-05	5673287969.586736
1.0676752598136052e-05	5693195650.151032
1.068209097443512e-05	5713113284.55561
1.0687432019922336e-05	5733040877.777386
1.0692775735932296e-05	5752978434.795772
1.0698122123800262e-05	5772925960.592672
1.0703471184862162e-05	5792883460.152468
1.0708822920454592e-05	5812850938.462043
1.0714177331914817e-05	5832828400.510771
1.0719534420580774e-05	5852815851.2905245
1.0724894187791063e-05	5872813295.79567
1.0730256634884958e-05	5892820739.023066
1.07356217632024e-05	5912838185.972078
1.0740989574084001e-05	5932865641.6445675
1.0746360068871043e-05	5952903111.044891
1.0751733248905478e-05	5972950599.179914
1.075710911552993e-05	5993008111.059003
1.0762487670087694e-05	6013075651.694033
1.0767868913922737e-05	6033153226.099382
1.0773252848379699e-05	6053240839.291933
1.0778639474803887e-05	6073338496.291077
1.0784028794541288e-05	6093446202.11872
1.0789420808938557e-05	6113563961.799277
1.0794815519343025e-05	6133691780.359675
1.0800212927102695e-05	6153829662.829353
1.0805613033566246e-05	6173977614.240269
1.0811015840083028e-05	6194135639.626886
1.0816421348003069e-05	6214303744.026201
1.082182955867707e-05	6234481932.477715
1.0827240473456408e-05	6254670210.023453
1.0832654093693135e-05	6274868581.707962
1.0838070420739981e-05	6295077052.578319
1.084348945595035e-05	6315295627.684106
1.0848911200678325e-05	6335524312.07745
1.0854335656278664e-05	6355763110.812991
1.0859762824106803e-05	6376012028.947899
1.0865192705518855e-05	6396271071.541871
1.0870625301871615e-05	6416540243.6571455
1.087606061452255e-05	6436819550.358476
1.0881498644829812e-05	6457108996.713158
1.0886939394152226e-05	6477408587.791014
1.08923828638493e-05	6497718328.664409
1.0897829055281224e-05	6518038224.408239
1.0903277969808865e-05	6538368280.099947
1.0908729608793769e-05	6558708500.819498
1.0914183973598165e-05	6579058891.649407
1.0919641065584963e-05	6599419457.67473
1.0925100886117754e-05	6619790203.983066
1.0930563436560812e-05	6640171135.664555
1.0936028718279092e-05	6660562257.811891
1.0941496732638231e-05	6680963575.520297
1.094696748100455e-05	6701375093.88756
1.0952440964745053e-05	6721796818.014007
1.0957917185227426e-05	6742228753.002516
1.0963396143820038e-05	6762670903.958516
1.0968877841891948e-05	6783123275.989999
1.0974362280812893e-05	6803585874.207492
1.09798494619533e-05	6824058703.724097
1.0985339386684276e-05	6844541769.65546
1.0990832056377618e-05	6865035077.119791
1.0996327472405806e-05	6885538631.237854
1.1001825636142008e-05	6906052437.132971
1.1007326548960078e-05	6926576499.931034
1.1012830212234557e-05	6947110824.760499
1.1018336627340674e-05	6967655416.752382
1.1023845795654344e-05	6988210281.040257
1.102935771855217e-05	7008775422.760277
1.1034872397411445e-05	7029350847.051157
1.104038983361015e-05	7049936559.054182
1.1045910028526954e-05	7070532563.913209
1.1051432983541217e-05	7091138866.774666
1.1056958700032988e-05	7111755472.787555
1.1062487179383003e-05	7132382387.103449
1.1068018422972694e-05	7153019614.876501
1.1073552432184181e-05	7173667161.263443
1.1079089208400273e-05	7194325031.423578
1.1084628753004472e-05	7214993230.518789
1.1090171067380975e-05	7235671763.713551
1.1095716152914665e-05	7256360636.17491
1.1101264010991121e-05	7270656312.482011
