# Wavelength(microm)	F_planet/F_star
0.30005903563735375	6.279323279569017e-07
0.3003592447525199	7.055626906986666e-07
0.3006597542269558	5.172119716066012e-07
0.300960564361171	5.411420034463829e-07
0.30126167545597554	5.282854383711567e-07
0.3015630878124805	5.553441409986395e-07
0.30186480173209856	6.425953221597887e-07
0.30216681751654345	7.899960132493716e-07
0.30246913546783105	6.379501643149433e-07
0.3027717558882791	5.132253916606966e-07
0.3030746790805082	4.580239553092523e-07
0.30337790534744163	4.904261650799542e-07
0.30368143499230554	5.573419186526173e-07
0.3039852683186298	5.762182150264435e-07
0.3042894056302477	5.53624320114718e-07
0.30459384723129695	5.338942997020668e-07
0.3048985934262188	6.138964428132219e-07
0.30520364451975973	5.696154572101971e-07
0.3055090008169708	5.495085015068232e-07
0.3058146626232074	7.035449116676315e-07
0.30612063024413205	5.87137298000315e-07
0.30642690398571265	6.615023249513141e-07
0.30673348415422236	7.286943699772009e-07
0.30704037105624177	6.478828964479998e-07
0.3073475649986577	5.844256531088767e-07
0.30765506628866374	6.401403592748869e-07
0.3079628752337625	6.937099784611754e-07
0.3082709921417617	6.845179414193619e-07
0.30857941732077815	6.02489088619687e-07
0.30888815107923795	7.655720438822649e-07
0.30919719372587473	9.288056311496755e-07
0.30950654556973123	9.891212974167627e-07
0.30981620692015943	9.446527000923104e-07
0.31012617808682075	1.3330681118940846e-06
0.31043645937968534	1.0101917535410232e-06
0.3107470511090351	7.582725374883016e-07
0.3110579535854616	7.423547798277186e-07
0.3113691671198673	7.49418997443151e-07
0.31168069202346704	8.394806572821889e-07
0.31199252860778476	9.87320183279124e-07
0.31230467718465704	1.0752527431159456e-06
0.31261713806623304	9.577454357480804e-07
0.3129299115649728	9.90152579355424e-07
0.3132429979936502	1.054203652204274e-06
0.31355639766535176	1.0071857008174902e-06
0.3138701108934763	8.983651134961976e-07
0.31418413799173767	1.0095445967736465e-06
0.31449847927416325	1.4743157317026992e-06
0.3148131350550942	1.2877524237383055e-06
0.31512810564918703	9.783622805018433e-07
0.3154433913714119	9.990026832616756e-07
0.31575899253705464	1.5384324278608489e-06
0.3160749094617161	1.7154689391343426e-06
0.3163911424613123	1.5482496529215953e-06
0.3167076918520775	1.3405975582688817e-06
0.3170245579505614	1.2873430006184542e-06
0.3173417410736292	1.0825412341965772e-06
0.3176592415384646	1.1210026868739035e-06
0.3179770596625682	1.4765139723968117e-06
0.31829519576375775	1.9289380225490467e-06
0.31861365016017007	1.6187310759685127e-06
0.3189324231702587	1.2725726857891692e-06
0.31925151511279676	1.6342788263215176e-06
0.3195709263068769	1.745901572858622e-06
0.31989065707190945	1.4804535510785107e-06
0.32021070772762594	1.5862485188208465e-06
0.32053107859407703	1.3651030286993738e-06
0.3208517699916327	1.5861262948555546e-06
0.32117278224098533	2.007872457632104e-06
0.32149411566314745	2.192415612090244e-06
0.32181577057945177	1.6941758070992488e-06
0.32213774731155354	1.7740322834204612e-06
0.32246004618142987	1.896763976780877e-06
0.32278266751137896	2.2706465316872205e-06
0.323105611624022	2.63637873678882e-06
0.32342887884230354	2.3275133944937425e-06
0.32375246948949077	2.1791945200032406e-06
0.32407638388917476	1.9359745803016364e-06
0.3244006223652699	1.7683782379922896e-06
0.3247251852420147	1.8103278499945717e-06
0.3250500728439716	2.0804076470218584e-06
0.32537528549602773	1.9649835210440136e-06
0.32570082352339647	1.6580573514625942e-06
0.32602668725161615	1.6480757311446566e-06
0.3263528770065502	1.7665808235386657e-06
0.32667939311438926	1.8501913897368226e-06
0.3270062359016485	1.8646371935055707e-06
0.3273334056951695	2.0097507147083092e-06
0.32766090282212285	2.1494065258836912e-06
0.32798872761000714	2.3327456496940444e-06
0.32831688038664697	2.374097327598891e-06
0.32864536148019385	2.1165465097628222e-06
0.3289741712191297	2.153165870980838e-06
0.32930330993226514	1.924811843028379e-06
0.32963277794873797	1.983177520897801e-06
0.32996257559801523	2.16013039325956e-06
0.33029270320989507	2.3249689533585403e-06
0.3306231611145066	2.54587155995749e-06
0.3309539496423071	2.5145050043768413e-06
0.3312850691240847	2.7492984398123267e-06
0.33161651989095925	2.6919808914273646e-06
0.3319483022743805	2.6102506590494202e-06
0.3322804166061314	2.7271285502205273e-06
0.3326128632183269	2.7233351225201277e-06
0.3329456424434135	2.857214496940648e-06
0.3332787546141702	2.615830976200578e-06
0.33361220006370884	2.996409923981483e-06
0.333945979125476	3.454414938549588e-06
0.3342800921332507	3.208034180993845e-06
0.3346145394211455	3.034250093802351e-06
0.33494932132360705	3.7455159569546686e-06
0.33528443817541764	3.342023628372535e-06
0.3356198903116948	3.350422869041093e-06
0.33595567806788895	4.6680681393529645e-06
0.33629180177978923	6.266401543876287e-06
0.33662826178351984	3.6492013835154464e-06
0.3369650584155399	5.325958653170001e-06
0.33730219201264616	5.8653724929470315e-06
0.337639662911973	4.483906937311714e-06
0.33797747145099094	4.230468852979828e-06
0.3383156179675081	4.811269894094021e-06
0.3386541027996724	4.129716963262193e-06
0.3389929262859681	4.475795133867386e-06
0.3393320887652174	5.4384096751749385e-06
0.33967159057658325	4.598064930343994e-06
0.3400114320595682	4.275313129788189e-06
0.34035161355401444	4.723336251687348e-06
0.34069213540010307	5.313799315472981e-06
0.34103299793835534	5.452962636521481e-06
0.34137420150963343	6.129055205546681e-06
0.3417157464551409	5.950220000640168e-06
0.3420576331164234	5.347612474185621e-06
0.3423998618353671	5.391749715640243e-06
0.3427424329542007	5.3610192471571806e-06
0.34308534681549624	4.775887003597078e-06
0.3434286037621676	5.299555250532867e-06
