# Wavelength(microm)	F_planet/F_star
0.30005903563735375	6.826592221039765e-07
0.3003592447525199	7.724422133374879e-07
0.3006597542269558	5.459162549196541e-07
0.300960564361171	5.785958868935307e-07
0.30126167545597554	5.603121394508148e-07
0.3015630878124805	5.882542308853693e-07
0.30186480173209856	6.906790816953014e-07
0.30216681751654345	8.812406979471617e-07
0.30246913546783105	6.901714108598737e-07
0.3027717558882791	5.35440067957342e-07
0.3030746790805082	4.653276732783487e-07
0.30337790534744163	4.946331865787242e-07
0.30368143499230554	5.731602878470761e-07
0.3039852683186298	5.97442365112428e-07
0.3042894056302477	5.711530199729183e-07
0.30459384723129695	5.442414650185209e-07
0.3048985934262188	6.407671167646894e-07
0.30520364451975973	5.933126837377226e-07
0.3055090008169708	5.694853618191802e-07
0.3058146626232074	7.407710983578735e-07
0.30612063024413205	6.01757813688163e-07
0.30642690398571265	6.822115484409469e-07
0.30673348415422236	7.554795771497142e-07
0.30704037105624177	6.606092263534697e-07
0.3073475649986577	5.859036770538087e-07
0.30765506628866374	6.437871582740084e-07
0.3079628752337625	7.066401449266789e-07
0.3082709921417617	7.045775469259526e-07
0.30857941732077815	6.125007492323112e-07
0.30888815107923795	7.893382776920287e-07
0.30919719372587473	9.757597084542263e-07
0.30950654556973123	1.0488294801347755e-06
0.30981620692015943	9.939663300948454e-07
0.31012617808682075	1.449098509791839e-06
0.31043645937968534	1.0549416047248995e-06
0.3107470511090351	7.633069087657161e-07
0.3110579535854616	7.486974123143975e-07
0.3113691671198673	7.51280257172079e-07
0.31168069202346704	8.477305664493036e-07
0.31199252860778476	1.0081803814297913e-06
0.31230467718465704	1.1085842787109861e-06
0.31261713806623304	9.905548256134041e-07
0.3129299115649728	1.0189736580580388e-06
0.3132429979936502	1.0837222782421204e-06
0.31355639766535176	1.0347269405549314e-06
0.3138701108934763	9.213957272921525e-07
0.31418413799173767	1.0344779101217838e-06
0.31449847927416325	1.529819420874436e-06
0.3148131350550942	1.3315950353505456e-06
0.31512810564918703	9.99312690744558e-07
0.3154433913714119	1.0143640240872153e-06
0.31575899253705464	1.6088553980645955e-06
0.3160749094617161	1.805218872921668e-06
0.3163911424613123	1.618858890375718e-06
0.3167076918520775	1.3877501671309357e-06
0.3170245579505614	1.323410521845925e-06
0.3173417410736292	1.102717216727129e-06
0.3176592415384646	1.1355156414335954e-06
0.3179770596625682	1.5170305490660622e-06
0.31829519576375775	2.023769702867074e-06
0.31861365016017007	1.6887959345470652e-06
0.3189324231702587	1.2916467330590438e-06
0.31925151511279676	1.6946421280580516e-06
0.3195709263068769	1.8212408571940706e-06
0.31989065707190945	1.522864084361212e-06
0.32021070772762594	1.6496459630090756e-06
0.32053107859407703	1.4042047245205301e-06
0.3208517699916327	1.6492045884144343e-06
0.32117278224098533	2.127263054661906e-06
0.32149411566314745	2.335502362254385e-06
0.32181577057945177	1.7522808265680926e-06
0.32213774731155354	1.8553703402320828e-06
0.32246004618142987	2.0013815159733603e-06
0.32278266751137896	2.4023221532538076e-06
0.323105611624022	2.7780034902895443e-06
0.32342887884230354	2.4309114501096862e-06
0.32375246948949077	2.265351644412429e-06
0.32407638388917476	1.9930384199133217e-06
0.3244006223652699	1.8169730142653556e-06
0.3247251852420147	1.8660035974492633e-06
0.3250500728439716	2.145166553631242e-06
0.32537528549602773	2.0130175553116762e-06
0.32570082352339647	1.6785455490966825e-06
0.32602668725161615	1.6685349901466725e-06
0.3263528770065502	1.7968078635813493e-06
0.32667939311438926	1.8866771781302062e-06
0.3270062359016485	1.9044644410322298e-06
0.3273334056951695	2.0622447281141677e-06
0.32766090282212285	2.1982390942983713e-06
0.32798872761000714	2.3911989095733513e-06
0.32831688038664697	2.4470455103999903e-06
0.32864536148019385	2.17628793339082e-06
0.3289741712191297	2.189646453788601e-06
0.32930330993226514	1.9533276222111e-06
0.32963277794873797	2.01662613279904e-06
0.32996257559801523	2.205433750915021e-06
0.33029270320989507	2.3864676142389454e-06
0.3306231611145066	2.630849038332038e-06
0.3309539496423071	2.6135509809078e-06
0.3312850691240847	2.8704968945936386e-06
0.33161651989095925	2.8168138325181936e-06
0.3319483022743805	2.7281284429701448e-06
0.3322804166061314	2.8359491305005846e-06
0.3326128632183269	2.8119682954016556e-06
0.3329456424434135	2.970521580734214e-06
0.3332787546141702	2.70418082725359e-06
0.33361220006370884	3.1195624663984614e-06
0.333945979125476	3.6228520082053513e-06
0.3342800921332507	3.348658469460213e-06
0.3346145394211455	3.1661534836085743e-06
0.33494932132360705	3.92346649050684e-06
0.33528443817541764	3.4823851265019995e-06
0.3356198903116948	3.5128402643164037e-06
0.33595567806788895	5.019027526618804e-06
0.33629180177978923	6.863974921311303e-06
0.33662826178351984	3.865073552851818e-06
0.3369650584155399	5.835950639358554e-06
0.33730219201264616	6.419667842192575e-06
0.337639662911973	4.798876478866702e-06
0.33797747145099094	4.497497820947136e-06
0.3383156179675081	5.160478745183747e-06
0.3386541027996724	4.412228716270457e-06
0.3389929262859681	4.782922118928796e-06
0.3393320887652174	5.896923377226704e-06
0.33967159057658325	4.904331890919831e-06
0.3400114320595682	4.51010798102488e-06
0.34035161355401444	5.009574115110709e-06
0.34069213540010307	5.689480482240735e-06
0.34103299793835534	5.835210400103804e-06
0.34137420150963343	6.732956334966888e-06
0.3417157464551409	6.493570656833128e-06
0.3420576331164234	5.700638813606613e-06
0.3423998618353671	5.738678629871993e-06
0.3427424329542007	5.732746761564363e-06
0.34308534681549624	5.051661923027882e-06
0.3434286037621676	5.663803171392875e-06
