# Wavelength(microm)	F_planet(BB)/F_star
0.30005903563735375	1.829996516980596e-05
0.3003592447525199	2.0962423283561315e-05
0.3006597542269558	1.3220994093059391e-05
0.300960564361171	1.4625892912185652e-05
0.30126167545597554	1.3737290220533462e-05
0.3015630878124805	1.4372999369885532e-05
0.30186480173209856	1.7761043904454347e-05
0.30216681751654345	2.5553096186634335e-05
0.30246913546783105	1.8201309031031363e-05
0.3027717558882791	1.2480186088719894e-05
0.3030746790805082	9.754732850819007e-06
0.30337790534744163	9.967439625748363e-06
0.30368143499230554	1.2381355087436987e-05
0.3039852683186298	1.331068255647666e-05
0.3042894056302477	1.250469615297722e-05
0.30459384723129695	1.1379682628694413e-05
0.3048985934262188	1.4293929403884101e-05
0.30520364451975973	1.3086553541662827e-05
0.3055090008169708	1.2343257047394446e-05
0.3058146626232074	1.6863192655637226e-05
0.30612063024413205	1.2455949274005163e-05
0.30642690398571265	1.4190723111841018e-05
0.30673348415422236	1.5806056359487316e-05
0.30704037105624177	1.3064986778792491e-05
0.3073475649986577	1.0934752752991248e-05
0.30765506628866374	1.2083237224837856e-05
0.3079628752337625	1.3844102268322271e-05
0.3082709921417617	1.4328677102613882e-05
0.30857941732077815	1.1834571356466666e-05
0.30888815107923795	1.570380339357251e-05
0.30919719372587473	2.082064911992083e-05
0.30950654556973123	2.335887790807962e-05
0.30981620692015943	2.1336734349614504e-05
0.31012617808682075	3.349816805363806e-05
0.31043645937968534	2.13466800545439e-05
0.3107470511090351	1.3845993023087269e-05
0.3110579535854616	1.3604523509470165e-05
0.3113691671198673	1.3241438433388162e-05
0.31168069202346704	1.5115290452945947e-05
0.31199252860778476	1.8479661684081466e-05
0.31230467718465704	2.0888173090622687e-05
0.31261713806623304	1.8861101082859952e-05
0.3129299115649728	1.8960396639684013e-05
0.3132429979936502	2.0070521939588117e-05
0.31355639766535176	1.9084517024780596e-05
0.3138701108934763	1.6795869076229104e-05
0.31418413799173767	1.858349352253792e-05
0.31449847927416325	2.8091628469491068e-05
0.3148131350550942	2.413903086610729e-05
0.31512810564918703	1.7526933655660097e-05
0.3154433913714119	1.7472835341766212e-05
0.31575899253705464	2.9821685085669737e-05
0.3160749094617161	3.410279708067445e-05
0.3163911424613123	3.0034062447227095e-05
0.3167076918520775	2.4939847935618468e-05
0.3170245579505614	2.3184170707402983e-05
0.3173417410736292	1.8875811369691507e-05
0.3176592415384646	1.910442490129081e-05
0.3179770596625682	2.637270594830179e-05
0.31829519576375775	3.709841952895188e-05
0.31861365016017007	3.048778280490736e-05
0.3189324231702587	2.1495280016347003e-05
0.31925151511279676	3.0066846439132164e-05
0.3195709263068769	3.288366713294789e-05
0.31989065707190945	2.630064445171577e-05
0.32021070772762594	2.9269380592097308e-05
0.32053107859407703	2.3888600802756316e-05
0.3208517699916327	2.897214872602044e-05
0.32117278224098533	3.9653565189247286e-05
0.32149411566314745	4.426215676815231e-05
0.32181577057945177	3.0211521667187386e-05
0.32213774731155354	3.2941584211177815e-05
0.32246004618142987	3.6499777625601624e-05
0.32278266751137896	4.372578799403681e-05
0.323105611624022	4.9369572243176145e-05
0.32342887884230354	4.230085742708674e-05
0.32375246948949077	3.846406997740119e-05
0.32407638388917476	3.2848310101264757e-05
0.3244006223652699	2.9818369130393703e-05
0.3247251852420147	3.093851402504787e-05
0.3250500728439716	3.5537688650029195e-05
0.32537528549602773	3.227901404158025e-05
0.32570082352339647	2.580214386777415e-05
0.32602668725161615	2.5560033137094532e-05
0.3263528770065502	2.785553866538282e-05
0.32667939311438926	2.9401255284715003e-05
0.3270062359016485	2.961285034240819e-05
0.3273334056951695	3.2557396208533444e-05
0.32766090282212285	3.401634116933206e-05
0.32798872761000714	3.7079896555127904e-05
0.32831688038664697	3.8593937087570716e-05
0.32864536148019385	3.393400471253539e-05
0.3289741712191297	3.28458393954773e-05
0.32930330993226514	2.9121924062119162e-05
0.32963277794873797	3.0025455019656517e-05
0.32996257559801523	3.299284695491181e-05
0.33029270320989507	3.618597315485903e-05
0.3306231611145066	4.066378079014981e-05
0.3309539496423071	4.129402832707458e-05
0.3312850691240847	4.566763021815745e-05
0.33161651989095925	4.497165951146767e-05
0.3319483022743805	4.332503655785088e-05
0.3322804166061314	4.41553260056649e-05
0.3326128632183269	4.267563839019973e-05
0.3329456424434135	4.585977750689424e-05
0.3332787546141702	4.098305767450101e-05
0.33361220006370884	4.8039265027051275e-05
0.333945979125476	5.6714389776950536e-05
0.3342800921332507	5.159338650074034e-05
0.3346145394211455	4.881954112225041e-05
0.33494932132360705	6.0903308052914716e-05
0.33528443817541764	5.308243991462422e-05
0.3356198903116948	5.4303005953874355e-05
0.33595567806788895	8.325180277810952e-05
0.33629180177978923	0.00012022055839537837
0.33662826178351984	6.117789929420242e-05
0.3369650584155399	0.00010176143198537495
0.33730219201264616	0.00011150765687275114
0.337639662911973	7.780887281973031e-05
0.33797747145099094	7.138071813950741e-05
0.3383156179675081	8.380823888102178e-05
0.3386541027996724	7.038379569408126e-05
0.3389929262859681	7.617037733880655e-05
0.3393320887652174	9.82103158539527e-05
0.33967159057658325	7.702608633851284e-05
0.3400114320595682	6.81059110783371e-05
0.34035161355401444	7.677352145814083e-05
0.34069213540010307	8.96664322496942e-05
0.34103299793835534	9.146911187023408e-05
0.34137420150963343	0.00011416398252676245
0.3417157464551409	0.00010758800788771041
0.3420576331164234	8.726953104988447e-05
0.3423998618353671	8.728557609581263e-05
0.3427424329542007	8.849587704142696e-05
0.34308534681549624	7.523750264349127e-05
