# Wavelength(microm)	F_planet(BB)/F_star
0.30005903563735375	4.628448874359913e-09
0.3003592447525199	5.136614410654645e-09
0.3006597542269558	4.057204460794177e-09
0.300960564361171	4.185515740558637e-09
0.30126167545597554	4.162552817011494e-09
0.3015630878124805	4.4175620918140706e-09
0.30186480173209856	5.034046779535472e-09
0.30216681751654345	5.831201994498659e-09
0.30246913546783105	5.0208181590810095e-09
0.3027717558882791	4.312606071568555e-09
0.3030746790805082	4.0162244099610146e-09
0.30337790534744163	4.352386503067297e-09
0.30368143499230554	4.815515692350499e-09
0.3039852683186298	4.9571503841858396e-09
0.3042894056302477	4.846850626822901e-09
0.30459384723129695	4.775186871589696e-09
0.3048985934262188	5.279576771296988e-09
0.30520364451975973	4.954778834300731e-09
0.3055090008169708	4.864051806362413e-09
0.3058146626232074	6.080397264091848e-09
0.30612063024413205	5.330177891528225e-09
0.30642690398571265	5.977530531452632e-09
0.30673348415422236	6.5055264884361524e-09
0.30704037105624177	5.87102009868966e-09
0.3073475649986577	5.517252064577689e-09
0.30765506628866374	6.032097589124957e-09
0.3079628752337625	6.4406505872221555e-09
0.3082709921417617	6.303848759958667e-09
0.30857941732077815	5.666054403490446e-09
0.30888815107923795	6.999346262833057e-09
0.30919719372587473	8.271246845204745e-09
0.30950654556973123	8.765585051224249e-09
0.30981620692015943	8.536892768137568e-09
0.31012617808682075	1.1164494498255814e-08
0.31043645937968534	9.246189362695565e-09
0.3107470511090351	7.522003646920246e-09
0.3110579535854616	7.387576610251762e-09
0.3113691671198673	7.529227350815514e-09
0.31168069202346704	8.366037298644869e-09
0.31199252860778476	9.694532821651549e-09
0.31230467718465704	1.0427123053636501e-08
0.31261713806623304	9.289083088159258e-09
0.3129299115649728	9.751364260134286e-09
0.3132429979936502	1.0424079881787766e-08
0.31355639766535176	1.004853702773445e-08
0.3138701108934763	9.096427807446056e-09
0.31418413799173767	1.021357690425206e-08
0.31449847927416325	1.437416451726706e-08
0.3148131350550942	1.2801897270717546e-08
0.31512810564918703	1.0114712104997561e-08
0.3154433913714119	1.0420608051569949e-08
0.31575899253705464	1.5020341119809476e-08
0.3160749094617161	1.6660627988141552e-08
0.3163911424613123	1.5392544809292654e-08
0.3167076918520775	1.3686084209890054e-08
0.3170245579505614	1.3324521752947323e-08
0.3173417410736292	1.1535437665312422e-08
0.3176592415384646	1.2134656032250939e-08
0.3179770596625682	1.5576550559179378e-08
0.31829519576375775	1.958494053418126e-08
0.31861365016017007	1.67936358183768e-08
0.3189324231702587	1.4007228289681919e-08
0.31925151511279676	1.739236997477685e-08
0.3195709263068769	1.849230700317332e-08
0.31989065707190945	1.6193088209061578e-08
0.32021070772762594	1.7031696158647973e-08
0.32053107859407703	1.507382049129833e-08
0.3208517699916327	1.727916894968192e-08
0.32117278224098533	2.1239848866519474e-08
0.32149411566314745	2.30795750958768e-08
0.32181577057945177	1.893416971383362e-08
0.32213774731155354	1.9462391331485048e-08
0.32246004618142987	2.0665094051610803e-08
0.32278266751137896	2.4664619696989148e-08
0.323105611624022	2.8845924318575373e-08
0.32342887884230354	2.6189132694660067e-08
0.32375246948949077	2.471435635541492e-08
0.32407638388917476	2.2532363687754562e-08
0.3244006223652699	2.080514129938943e-08
0.3247251852420147	2.1312758831938234e-08
0.3250500728439716	2.4641328100989284e-08
0.32537528549602773	2.3498599234489543e-08
0.32570082352339647	2.0346911360880503e-08
0.32602668725161615	2.0311919962859698e-08
0.3263528770065502	2.172783375558073e-08
0.32667939311438926	2.2828181694199983e-08
0.3270062359016485	2.3024853336395216e-08
0.3273334056951695	2.4798356137240387e-08
0.32766090282212285	2.671231317642126e-08
0.32798872761000714	2.8941966432370143e-08
0.32831688038664697	2.9303358714678172e-08
0.32864536148019385	2.6353236887738327e-08
0.3289741712191297	2.7449112527289202e-08
0.32930330993226514	2.4763731577262042e-08
0.32963277794873797	2.5530658734709062e-08
0.32996257559801523	2.7697608967952858e-08
0.33029270320989507	2.9645471530853067e-08
0.3306231611145066	3.2310575313009376e-08
0.3309539496423071	3.1771212506636824e-08
0.3312850691240847	3.4625105703790634e-08
0.33161651989095925	3.4027051951748875e-08
0.3319483022743805	3.32715400660578e-08
0.3322804166061314	3.515356373016545e-08
0.3326128632183269	3.562175539138906e-08
0.3329456424434135	3.704537110815482e-08
0.3332787546141702	3.442268984590293e-08
0.33361220006370884	3.914283858491966e-08
0.333945979125476	4.474174744554573e-08
0.3342800921332507	4.212608319307668e-08
0.3346145394211455	4.027216244784776e-08
0.33494932132360705	4.929301090407912e-08
0.33528443817541764	4.4763810385514184e-08
0.3356198903116948	4.4602817263100157e-08
0.33595567806788895	5.899933999517027e-08
0.33629180177978923	7.607103488989144e-08
0.33662826178351984	4.836124608367719e-08
0.3369650584155399	6.628953966026451e-08
0.33730219201264616	7.317350650442424e-08
0.337639662911973	5.883232823113642e-08
0.33797747145099094	5.673827051575666e-08
0.3383156179675081	6.387542816110736e-08
0.3386541027996724	5.5395358950817766e-08
0.3389929262859681	6.035534788612218e-08
0.3393320887652174	7.190397418651751e-08
0.33967159057658325	6.27986514544975e-08
0.3400114320595682	5.965478885319438e-08
0.34035161355401444	6.558791978419315e-08
0.34069213540010307	7.30658140464798e-08
0.34103299793835534	7.543027963756084e-08
0.34137420150963343	8.1496769919576e-08
0.3417157464551409	8.044127204275022e-08
0.3420576331164234	7.532208928466481e-08
0.3423998618353671	7.649504752273305e-08
0.3427424329542007	7.60487534627362e-08
0.34308534681549624	6.943545833544329e-08
0.3434286037621676	7.628292109753918e-08
