# Wavelenth(micron)	F_planet(10^-6 erg/cm^2/s/Hz)
0.30005903563735375	3.0507874006977107e-05
0.3003592447525199	5.420644573246407e-06
0.3006597542269558	2.445678515174462e-06
0.300960564361171	3.2780782058437474e-05
0.30126167545597554	4.578509906684647e-07
0.3015630878124805	5.14587637688398e-06
0.30186480173209856	1.8257893275078108e-05
0.30216681751654345	8.382503894088542e-05
0.30246913546783105	1.2636696946755482e-05
0.3027717558882791	2.5184764392427605e-05
0.3030746790805082	1.7720959936011254e-06
0.30337790534744163	5.403517184192344e-06
0.30368143499230554	2.124286465143763e-05
0.3039852683186298	8.570116657061555e-06
0.3042894056302477	1.7732216723508343e-05
0.30459384723129695	2.8486215026368366e-06
0.3048985934262188	2.7141027401324404e-05
0.30520364451975973	3.4314095742495735e-07
0.3055090008169708	2.845853989626566e-06
0.3058146626232074	1.3975152769162005e-05
0.30612063024413205	2.7347424689668518e-05
0.30642690398571265	3.605410885476515e-07
0.30673348415422236	1.2927943102851482e-05
0.30704037105624177	1.6371414550373771e-06
0.3073475649986577	3.202966438418885e-07
0.30765506628866374	1.0681472632184859e-05
0.3079628752337625	1.999682744843902e-06
0.3082709921417617	3.8020733383286045e-07
0.30857941732077815	9.419343437990312e-06
0.30888815107923795	3.1851662451421057e-07
0.30919719372587473	7.904663732724526e-06
0.30950654556973123	1.7605336283032509e-06
0.30981620692015943	7.893707428376845e-07
0.31012617808682075	3.89874593465892e-05
0.31043645937968534	1.4558078154398671e-06
0.3107470511090351	3.454326885292811e-07
0.3110579535854616	3.7360299347011394e-07
0.3113691671198673	5.15777381129082e-07
0.31168069202346704	5.3883201657334856e-06
0.31199252860778476	9.18798003522881e-07
0.31230467718465704	3.3168584883448865e-07
0.31261713806623304	5.961599613761249e-06
0.3129299115649728	1.5177438916594647e-06
0.3132429979936502	3.820222878798268e-07
0.31355639766535176	4.814750959631432e-06
0.3138701108934763	3.973768483164499e-07
0.31418413799173767	4.2155776389099275e-07
0.31449847927416325	5.145414441809061e-06
0.3148131350550942	4.4932307969788887e-07
0.31512810564918703	4.0041805117919655e-06
0.3154433913714119	6.783253822998823e-07
0.31575899253705464	1.105727504834738e-06
0.3160749094617161	2.1573279544620692e-06
0.3163911424613123	6.769487225842373e-07
0.3167076918520775	8.888431688091624e-07
0.3170245579505614	5.417124873547499e-07
0.3173417410736292	6.1073939019639e-07
0.3176592415384646	9.634425417289428e-07
0.3179770596625682	1.8312148735953085e-06
0.31829519576375775	1.186802115088568e-05
0.31861365016017007	1.5425245709583284e-05
0.3189324231702587	1.0961321404608275e-06
0.31925151511279676	1.757126390343901e-05
0.3195709263068769	2.049246321281131e-05
0.31989065707190945	2.6896026422523493e-05
0.32021070772762594	9.35197144196377e-06
0.32053107859407703	1.1398008201116327e-06
0.3208517699916327	6.164102701928655e-07
0.32117278224098533	3.6401703559100895e-06
0.32149411566314745	1.950410468263641e-05
0.32181577057945177	1.0329961477900816e-05
0.32213774731155354	7.634473995797366e-06
0.32246004618142987	3.47489590697013e-06
0.32278266751137896	1.2290241564450603e-05
0.323105611624022	1.4722021496943322e-05
0.32342887884230354	1.674338535301911e-05
0.32375246948949077	2.0247510570859254e-05
0.32407638388917476	2.146950157450748e-06
0.3244006223652699	1.9068189910910237e-06
0.3247251852420147	1.901299229279146e-05
0.3250500728439716	2.6378879616116523e-06
0.32537528549602773	1.0291280235755158e-06
0.32570082352339647	1.7665186394499421e-06
0.32602668725161615	1.1935628278252304e-06
0.3263528770065502	1.1161270496019441e-06
0.32667939311438926	1.8486785552336334e-05
0.3270062359016485	1.8222030666752348e-06
0.3273334056951695	4.002489586733866e-06
0.32766090282212285	1.9637215703129186e-06
0.32798872761000714	2.196256832110482e-06
0.32831688038664697	2.9236428825545e-06
0.32864536148019385	7.961930625339649e-06
0.3289741712191297	5.215725546333935e-06
0.32930330993226514	1.0414474805279916e-05
0.32963277794873797	1.785779689419122e-05
