# Wavelenth(micron)	F_planet(10^-6 erg/cm^2/s/Hz)
0.30005903563735375	1.1838633205859949e-05
0.3003592447525199	1.597636192356809e-06
0.3006597542269558	4.792058515193359e-07
0.300960564361171	1.367889746616006e-05
0.30126167545597554	5.645017206569769e-08
0.3015630878124805	1.462516189664857e-06
0.30186480173209856	7.320166019880485e-06
0.30216681751654345	3.206068474200303e-05
0.30246913546783105	5.514415468208887e-06
0.3027717558882791	9.887962523388496e-06
0.3030746790805082	2.4598077606594553e-07
0.30337790534744163	1.6895952013521755e-06
0.30368143499230554	8.731115257534678e-06
0.3039852683186298	2.338566217767175e-06
0.3042894056302477	6.032606864868709e-06
0.30459384723129695	6.740086882916201e-07
0.3048985934262188	1.0480499941092308e-05
0.30520364451975973	4.4879063704881844e-08
0.3055090008169708	5.208926500052596e-07
0.3058146626232074	5.5520717523035205e-06
0.30612063024413205	1.0717335392697167e-05
0.30642690398571265	4.5177059423927e-08
0.30673348415422236	5.031992371203509e-06
0.30704037105624177	2.8067754775605154e-07
0.3073475649986577	3.8603771027783113e-08
0.30765506628866374	4.133215269855856e-06
0.3079628752337625	3.846169147251813e-07
0.3082709921417617	4.4043499824364185e-08
0.30857941732077815	3.379455138464038e-06
0.30888815107923795	4.0380702442761665e-08
0.30919719372587473	2.61732163549699e-06
0.30950654556973123	2.3624770529190015e-07
0.30981620692015943	8.275891060876283e-08
0.31012617808682075	1.5520230300175696e-05
0.31043645937968534	3.3580225048044766e-07
0.3107470511090351	4.6474096567247086e-08
0.3110579535854616	5.045146537622913e-08
0.3113691671198673	7.079449832214247e-08
0.31168069202346704	1.5406900533837001e-06
0.31199252860778476	1.304912430534573e-07
0.31230467718465704	4.766030827801664e-08
0.31261713806623304	1.726602824554247e-06
0.3129299115649728	2.3085434048613121e-07
0.3132429979936502	5.2503157301627537e-08
0.31355639766535176	1.2482185363037889e-06
0.3138701108934763	5.690839707656445e-08
0.31418413799173767	6.083262632429e-08
0.31449847927416325	1.4590669710051149e-06
0.3148131350550942	6.564131989311544e-08
0.31512810564918703	1.053012125037952e-06
0.3154433913714119	9.776421700033322e-08
0.31575899253705464	1.53453575101413e-07
0.3160749094617161	3.2901303245676304e-07
0.3163911424613123	9.640209881624288e-08
0.3167076918520775	1.2480982411382057e-07
0.3170245579505614	8.221186904773958e-08
0.3173417410736292	9.198065408857198e-08
0.3176592415384646	1.428715719359422e-07
0.3179770596625682	2.655914078077726e-07
0.31829519576375775	4.06301888589691e-06
0.31861365016017007	6.281225988494574e-06
0.3189324231702587	1.595120236420927e-07
0.31925151511279676	7.332131639067128e-06
0.3195709263068769	9.638336491975436e-06
0.31989065707190945	1.0510663412741731e-05
0.32021070772762594	2.6286427487844395e-06
0.32053107859407703	1.7622359123208843e-07
0.3208517699916327	1.047793782246958e-07
0.32117278224098533	5.272555574635471e-07
0.32149411566314745	7.137360477695047e-06
0.32181577057945177	3.2060642315410707e-06
0.32213774731155354	1.555185282512403e-06
0.32246004618142987	6.002524084687927e-07
0.32278266751137896	2.731048825300567e-06
0.323105611624022	4.680168291886992e-06
0.32342887884230354	6.255697667381975e-06
0.32375246948949077	8.68597669948779e-06
0.32407638388917476	3.4958313939531037e-07
0.3244006223652699	3.2140992640565823e-07
0.3247251852420147	6.5930194207511395e-06
0.3250500728439716	4.359943853074441e-07
0.32537528549602773	2.1078870161012884e-07
0.32570082352339647	3.299542898046003e-07
0.32602668725161615	2.570564959942591e-07
0.3263528770065502	2.634096240120346e-07
0.32667939311438926	6.413184060006811e-06
0.3270062359016485	4.040206127092376e-07
0.3273334056951695	7.850695645838656e-07
0.32766090282212285	5.077723230273201e-07
0.32798872761000714	6.103297706971658e-07
0.32831688038664697	8.238956861369265e-07
0.32864536148019385	1.8761341924197532e-06
0.3289741712191297	1.6438704595808638e-06
0.32930330993226514	3.0668346251708823e-06
0.32963277794873797	6.051612614390455e-06
0.32996257559801523	2.3511792307208383e-05
0.33029270320989507	0.00054977554347657
0.3306231611145066	6.474964713372816e-05
0.3309539496423071	9.411904915370476e-06
0.3312850691240847	3.914628664880685e-06
0.33161651989095925	2.211361302633465e-06
0.3319483022743805	1.4658501123193294e-06
0.3322804166061314	1.065019659270246e-06
0.3326128632183269	8.752316912252069e-07
0.3329456424434135	6.847177413866865e-07
0.3332787546141702	5.988853308383765e-07
0.33361220006370884	5.402170127840974e-07
0.333945979125476	4.77670815349497e-07
0.3342800921332507	5.328954543660887e-07
0.3346145394211455	3.8657008183162963e-07
0.33494932132360705	4.0423934822324553e-07
0.33528443817541764	3.7505399676712783e-07
0.3356198903116948	5.434576646086752e-07
0.33595567806788895	5.336975912680018e-07
0.33629180177978923	3.2777715261259877e-07
0.33662826178351984	3.335732658845977e-07
0.3369650584155399	3.522394602504392e-07
0.33730219201264616	5.459396003792302e-07
0.337639662911973	3.2402159799903707e-07
0.33797747145099094	5.228827712332751e-07
0.3383156179675081	4.079237207966981e-07
0.3386541027996724	5.101313300471207e-07
0.3389929262859681	3.180846122125196e-07
0.3393320887652174	9.631594850217216e-07
0.33967159057658325	2.505136027471968e-06
0.3400114320595682	1.2077528428574095e-06
0.34035161355401444	4.639532653393538e-06
0.34069213540010307	4.236239515331467e-06
0.34103299793835534	7.112792449252667e-07
0.34137420150963343	1.0665419749108104e-06
0.3417157464551409	1.090436516018265e-06
0.3420576331164234	6.384046136697294e-07
0.3423998618353671	1.0974460146209295e-06
0.3427424329542007	9.414267401884725e-06
0.34308534681549624	6.601667046889675e-07
0.3434286037621676	3.6662714148557334e-07
0.3437722041374721	3.858888664346916e-07
0.34411614828500847	9.011303062997505e-05
0.3444604365487217	3.9897827976732526e-05
0.34480506927290067	2.0926937163292525e-05
0.34515004680217665	9.640936247869632e-07
0.3454953694815278	6.214335440995007e-06
0.34584103765627777	4.399962688888488e-07
0.34618705167209435	4.658278787401293e-07
0.3465334118749911	4.244152404058159e-05
0.3468801186113284	2.765933518897798e-06
0.34722717222781396	6.168764745706446e-07
0.3475745730715008	4.717247944380711e-05
0.34792232148978935	3.986190581394892e-05
0.3482704178304284	2.246994735393113e-06
0.3486188624415139	7.083614852872837e-07
0.3489676556714908	5.920522919925507e-07
0.3493167978691525	5.0256660190588424e-05
0.34966628938364114	1.1092156131107268e-06
0.35001613056444836	4.324733040468853e-05
0.3503663217614157	5.061735364708645e-07
0.3507168633247337	7.164917430820799e-07
0.3510677556049435	6.315745600105373e-07
0.35141899895293816	2.2865469189418995e-05
0.35177059371996156	5.629706481296058e-07
0.35212254025760836	2.4570678809874037e-05
0.35247483891782416	8.411583629724697e-07
0.35282749005290864	5.9982603463260004e-05
0.3531804940155126	6.939522354260269e-07
0.35353385115863967	9.286059244379195e-07
0.35388756183564807	9.306723534631595e-07
0.3542416264002475	5.154472560385405e-06
0.35459604520650223	7.370603151070578e-07
0.35495081860883215	8.923403103313183e-07
0.3553059469620101	7.234964196330041e-07
0.35566143062116456	7.287313015224289e-06
0.3560172699417795	3.4395405178964245e-05
0.356373465279694	7.847392374396547e-07
0.35673001699110324	5.084542435541575e-05
0.3570869254325594	6.175352423439197e-05
0.3574441909609705	1.074356638074458e-06
0.35780181393360216	9.450757061075664e-07
0.3581597947080773	7.327779720062167e-05
0.3585181336423769	6.266192112292199e-05
0.35887683109484053	4.362557553380471e-05
0.3592358874241651	8.532283617613307e-07
0.3595953029894069	1.0114021252301055e-06
0.3599550781499817	8.808923058364335e-07
0.36031521326566457	1.2556060354867677e-06
0.3606757086965913	2.440048656146433e-06
0.361036564803257	5.7974814630213185e-05
0.36139778194651695	1.3549927214828294e-06
0.36175936048758894	1.4895242774263612e-06
0.36212130078805094	6.44137145656566e-05
0.3624836032098437	1.7621886299762436e-06
0.36284626811526954	1.059615723652637e-06
0.36320929586699424	6.747588975296897e-05
0.36357268682804506	1.5431690093649656e-06
