# Wavelenth(micron)	F_planet(10^-6 erg/cm^2/s/Hz)
0.30005903563735375	1.9246131599581448e-06
0.3003592447525199	5.39490064688252e-08
0.3006597542269558	7.842050886282518e-09
0.300960564361171	2.245365994136716e-06
0.30126167545597554	1.3513200138752426e-09
0.3015630878124805	3.930841435600685e-08
0.30186480173209856	8.716468378608955e-07
0.30216681751654345	6.216945023345985e-06
0.30246913546783105	8.293314149900911e-07
0.3027717558882791	1.5838528918239514e-06
0.3030746790805082	3.622482492257787e-09
0.30337790534744163	5.6049613000465744e-08
0.30368143499230554	1.8090470949380637e-06
0.3039852683186298	6.937544810827178e-08
0.3042894056302477	2.0842921561059858e-07
0.30459384723129695	1.3395173537739804e-08
0.3048985934262188	2.256376088968212e-06
0.30520364451975973	1.5757300649435837e-09
0.3055090008169708	8.402951798693015e-09
0.3058146626232074	5.516469889692969e-07
0.30612063024413205	2.314407294761281e-06
0.30642690398571265	1.6731188717603796e-09
0.30673348415422236	4.1273015366272153e-07
0.30704037105624177	4.926078021734034e-09
0.3073475649986577	1.671686281325608e-09
0.30765506628866374	2.8639916403297574e-07
0.3079628752337625	7.154986078875853e-09
0.3082709921417617	1.8746129340798124e-09
0.30857941732077815	1.7377870000797742e-07
0.30888815107923795	1.9455014324359517e-09
0.30919719372587473	1.0461622821311466e-07
0.30950654556973123	4.392946663592288e-09
0.30981620692015943	2.367342819122361e-09
0.31012617808682075	9.137992833548288e-07
0.31043645937968534	1.1088544836908789e-08
0.3107470511090351	2.3210320014139763e-09
0.3110579535854616	2.4145222751821236e-09
0.3113691671198673	2.721255502485289e-09
0.31168069202346704	3.741280740094812e-08
0.31199252860778476	3.581917770056798e-09
0.31230467718465704	2.631225263387333e-09
0.31261713806623304	4.3586597030184104e-08
0.3129299115649728	5.079414610772551e-09
0.3132429979936502	2.858325487635189e-09
0.31355639766535176	2.7298790105009432e-08
0.3138701108934763	3.0609622484064105e-09
0.31418413799173767	3.1794852771797643e-09
0.31449847927416325	3.839921352424509e-08
0.3148131350550942	3.388004576912281e-09
0.31512810564918703	2.5265399122463332e-08
0.3154433913714119	3.922079152457023e-09
0.31575899253705464	4.595185631976524e-09
0.3160749094617161	6.976232700307852e-09
0.3163911424613123	4.150619941274507e-09
0.3167076918520775	4.5589114538314505e-09
0.3170245579505614	4.212969270720647e-09
0.3173417410736292	4.42413141272893e-09
0.3176592415384646	5.119643012052754e-09
0.3179770596625682	6.582326715262491e-09
0.31829519576375775	1.8825946931733576e-07
0.31861365016017007	4.950931908195621e-07
0.3189324231702587	5.7495418184917315e-09
0.31925151511279676	6.328042393303988e-07
0.3195709263068769	1.160653839319733e-06
0.31989065707190945	6.057819025895601e-07
0.32021070772762594	7.212851845685138e-08
0.32053107859407703	6.64733652589484e-09
0.3208517699916327	6.0380209065212e-09
0.32117278224098533	1.0892118730913117e-08
0.32149411566314745	4.950595941662135e-07
0.32181577057945177	1.3174191303323696e-07
0.32213774731155354	3.176941444881317e-08
0.32246004618142987	1.323422747201585e-08
0.32278266751137896	5.409305692751172e-08
0.323105611624022	1.8502787644773874e-07
0.32342887884230354	3.7122771449252503e-07
0.32375246948949077	7.603950037724947e-07
0.32407638388917476	1.124286927339123e-08
0.3244006223652699	1.134409819431813e-08
0.3247251852420147	3.369144397963894e-07
0.3250500728439716	1.3621328355564588e-08
0.32537528549602773	1.1567784799354054e-08
0.32570082352339647	1.3728857961739263e-08
0.32602668725161615	1.3593045541649564e-08
0.3263528770065502	1.4658377945928665e-08
0.32667939311438926	3.168382601239367e-07
0.3270062359016485	1.9043733040393627e-08
0.3273334056951695	2.5768910123947193e-08
0.32766090282212285	2.5103615692426648e-08
0.32798872761000714	3.03013674029112e-08
0.32831688038664697	3.895793694688432e-08
0.32864536148019385	6.212802216276109e-08
0.3289741712191297	7.64486729929493e-08
0.32930330993226514	1.314691534621801e-07
0.32963277794873797	2.743408884338705e-07
0.32996257559801523	1.083049863736011e-06
0.33029270320989507	0.00012412528157208048
0.3306231611145066	3.273268402675279e-06
0.3309539496423071	4.2706798255909766e-07
0.3312850691240847	1.7910691983032947e-07
0.33161651989095925	1.0324035584904671e-07
0.3319483022743805	7.0157186720111e-08
0.3322804166061314	5.270758724368953e-08
0.3326128632183269	4.298477351866676e-08
0.3329456424434135	3.6067483415522415e-08
0.3332787546141702	3.1900203117262404e-08
0.33361220006370884	2.9039067708107038e-08
0.333945979125476	2.6892801729537712e-08
0.3342800921332507	2.6177278331714255e-08
0.3346145394211455	2.4043780326029717e-08
0.33494932132360705	2.371952516730786e-08
0.33528443817541764	2.3019880644968382e-08
0.3356198903116948	2.464344891075352e-08
0.33595567806788895	2.5117295506633425e-08
0.33629180177978923	2.2049481119693867e-08
0.33662826178351984	2.2201885675578906e-08
0.3369650584155399	2.2476403864081965e-08
0.33730219201264616	2.4200325725527893e-08
0.337639662911973	2.251933820433365e-08
0.33797747145099094	2.4677354804906598e-08
0.3383156179675081	2.3974722581983737e-08
0.3386541027996724	2.531503697669617e-08
0.3389929262859681	2.3512970399901606e-08
0.3393320887652174	3.16587017858814e-08
0.33967159057658325	6.120925552620305e-08
0.3400114320595682	3.641631754938501e-08
0.34035161355401444	1.2224947444554737e-07
0.34069213540010307	8.178012044607992e-08
0.34103299793835534	3.161628595858869e-08
0.34137420150963343	3.5699220859691085e-08
0.3417157464551409	3.668657498291117e-08
0.3420576331164234	3.112322486607485e-08
0.3423998618353671	3.71961019215444e-08
0.3427424329542007	2.0055010079840327e-07
0.34308534681549624	3.300281149361939e-08
0.3434286037621676	3.002723066797227e-08
0.3437722041374721	3.0890006306050814e-08
0.34411614828500847	2.5737218253960844e-05
0.3444604365487217	7.655687775103654e-06
0.34480506927290067	1.4887526149967432e-06
0.34515004680217665	4.023856526618143e-08
0.3454953694815278	1.7107057559527872e-07
0.34584103765627777	3.533898905003375e-08
0.34618705167209435	3.6358588407871036e-08
0.3465334118749911	9.368118092180944e-06
0.3468801186113284	7.811788618322276e-08
0.34722717222781396	4.040630156682538e-08
0.3475745730715008	1.1464376032285416e-05
0.34792232148978935	7.291290401032871e-06
0.3482704178304284	7.067650897612141e-08
0.3486188624415139	4.4789304288677354e-08
0.3489676556714908	4.469342591229257e-08
0.3493167978691525	1.2602137093052663e-05
0.34966628938364114	5.23188723993842e-08
0.35001613056444836	7.9923411319229e-06
0.3503663217614157	4.6965307895165686e-08
0.3507168633247337	5.039795145116334e-08
0.3510677556049435	5.038504818747593e-08
0.35141899895293816	1.464088751486268e-06
0.35177059371996156	5.170682180650443e-08
0.35212254025760836	1.661335753189704e-06
0.35247483891782416	5.71384942030699e-08
0.35282749005290864	7.9203046983465e-06
0.3531804940155126	5.767235628330585e-08
0.35353385115863967	6.166299840422279e-08
0.35388756183564807	6.270021163553664e-08
0.3542416264002475	1.3743898387095375e-07
0.35459604520650223	6.313903716332135e-08
0.35495081860883215	6.656294416096501e-08
0.3553059469620101	6.560848756348566e-08
0.35566143062116456	1.9024035985352312e-07
0.3560172699417795	2.819120510638745e-06
0.356373465279694	7.03873948374058e-08
0.35673001699110324	6.91828445228773e-06
0.3570869254325594	1.0600919313708888e-05
0.3574441909609705	7.788649006300005e-08
0.35780181393360216	7.808336360200697e-08
0.3581597947080773	1.5502398490742572e-05
0.3585181336423769	4.56066782422194e-06
0.35887683109484053	2.704576243068967e-06
0.3592358874241651	8.37281114412852e-08
0.3595953029894069	8.724767656015292e-08
0.3599550781499817	8.762151109118277e-08
0.36031521326566457	9.367504892333948e-08
0.3606757086965913	1.0926195241352295e-07
0.361036564803257	7.432098453380705e-06
0.36139778194651695	1.0125101010536688e-07
0.36175936048758894	1.0490422753131956e-07
0.36212130078805094	9.274107308697931e-06
0.3624836032098437	1.1168289373489028e-07
0.36284626811526954	1.0583388597909606e-07
0.36320929586699424	1.0088262878566814e-05
0.36357268682804506	1.1474034066625607e-07
0.3639364413618126	1.1607762518512731e-07
0.36430055983205223	1.2250136796307273e-07
0.364665042602882	1.221987389405927e-07
0.36502989003878483	1.6527310037474666e-05
0.3653951025046079	1.3148009925789755e-07
0.36576068036556375	1.27860434350292e-07
0.3661266239872305	1.3214763318434155e-07
0.3664929337355513	1.33221027255545e-07
0.36685960997683714	1.3839866519913323e-07
0.3672266530777639	1.422435718348853e-07
0.367594063405374	1.4375815903483572e-07
0.36796184132707804	1.933838771553532e-05
0.36832998721065424	5.060573643980375e-06
0.36869850142424837	5.337823117831795e-06
0.36906738433637487	1.58156368267e-07
0.3694366363159162	1.665633723202598e-07
0.3698062577321236	1.6391090777699505e-07
0.37017624895461987	1.7000721794570285e-07
0.370546610353396	2.3818396544532377e-05
0.3709173422988131	1.4636896963424218e-05
0.3712884451616033	1.8011163733804254e-07
0.3716599193128703	1.8674135250858754e-07
0.3720317651240883	4.920044776275864e-05
0.3724039829671021	2.5417135027283036e-05
0.37277657321412927	6.174043099724716e-06
0.37314953623776065	2.0441142747679983e-07
0.3735228724109598	5.220993706207068e-05
0.37389658210706284	4.6963969951660464e-05
0.3742706656997787	4.440473068622924e-06
0.3746451235631912	6.44624587798147e-05
0.37501995607175836	5.646021340863472e-05
0.3753951636003123	2.4627011245937326e-07
0.37577074652406117	1.6302668893723654e-05
0.376146705218588	2.5442309047735485e-07
0.37652304005985093	1.1685277214940469e-05
0.3768997514241862	8.921634586925796e-06
0.37727683968830467	2.5651372099975336e-07
0.3776543052292933	2.6949721827521555e-07
0.37803214842461885	2.6983625861088696e-07
0.37841036965212516	2.7431126814661703e-07
0.3787889692900325	4.563769711432396e-06
0.3791679477169404	9.489007896547804e-07
0.379547305311827	5.694498658515355e-06
0.3799270424540503	1.0629664530360631e-05
0.380307159523348	3.061590867043234e-07
0.3806876568998369	3.2487655490586116e-07
