# Wavelenth(micron)	F_planet(10^-6 erg/cm^2/s/Hz)
0.30005903563735375	0.004576241432814806
0.3003592447525199	0.003431063015365532
0.3006597542269558	0.0029611309294762076
0.300960564361171	0.004283113619676659
0.30126167545597554	0.0024750437735454344
0.3015630878124805	0.0027710210434442693
0.30186480173209856	0.0037215389614499677
0.30216681751654345	0.006305278611748765
0.30246913546783105	0.003720445984719999
0.3027717558882791	0.0044648164199923065
0.3030746790805082	0.0030935609887686086
0.30337790534744163	0.0029420111266935172
0.30368143499230554	0.003640002586935722
0.3039852683186298	0.00321180800058058
0.3042894056302477	0.0034779988501323147
0.30459384723129695	0.0027172663413169936
0.3048985934262188	0.0043211795932221455
0.30520364451975973	0.0025790458569734317
0.3055090008169708	0.003765994781087451
0.3058146626232074	0.004134467024306609
0.30612063024413205	0.004363527591350514
0.30642690398571265	0.0026326857690033
0.30673348415422236	0.00331940710940451
0.30704037105624177	0.0026768614983046666
0.3073475649986577	0.0031155794881577575
0.30765506628866374	0.0035192011677872724
0.3079628752337625	0.002846555950402656
0.3082709921417617	0.0032944040152087387
0.30857941732077815	0.00352296679840963
0.30888815107923795	0.003065603017613915
0.30919719372587473	0.0033551921048287966
0.30950654556973123	0.003545917983372238
0.30981620692015943	0.002906657947686833
0.31012617808682075	0.005339545136077128
0.31043645937968534	0.0032338878475702895
0.3107470511090351	0.0029907258650767165
0.3110579535854616	0.0028926998925536715
0.3113691671198673	0.0033537507646937597
0.31168069202346704	0.0032421775562255957
0.31199252860778476	0.003073862215454292
0.31230467718465704	0.002776412227266473
0.31261713806623304	0.0029367124023577497
0.3129299115649728	0.0036306370442025166
0.3132429979936502	0.0033685523438570547
0.31355639766535176	0.003555332079596891
0.3138701108934763	0.0028038092020973176
0.31418413799173767	0.0028777874009881274
0.31449847927416325	0.003281543188309001
0.3148131350550942	0.0028414375636858927
0.31512810564918703	0.0027719678618006614
0.3154433913714119	0.002835927688828639
0.31575899253705464	0.0033531775287448207
0.3160749094617161	0.004057806077446797
0.3163911424613123	0.003523074003581314
0.3167076918520775	0.003320216813383846
0.3170245579505614	0.002771377205967862
0.3173417410736292	0.0028149863409367244
0.3176592415384646	0.002720256731797624
0.3179770596625682	0.002936655013379618
0.31829519576375775	0.0033320628266098828
0.31861365016017007	0.0031906242705625767
0.3189324231702587	0.0035903158454593026
0.31925151511279676	0.0043084108074304345
0.3195709263068769	0.0037785420863853418
0.31989065707190945	0.003867339243276675
0.32021070772762594	0.003559178297735271
0.32053107859407703	0.0028133185758174376
0.3208517699916327	0.002656859614975114
0.32117278224098533	0.003966629544061567
0.32149411566314745	0.0038459856011882976
0.32181577057945177	0.0033069648814477055
0.32213774731155354	0.004199445348097383
0.32246004618142987	0.003530761522346973
0.32278266751137896	0.003998590834699024
0.323105611624022	0.003917857532560862
0.32342887884230354	0.0032878788374371424
0.32375246948949077	0.0030850815432527123
0.32407638388917476	0.0037613576061952133
0.3244006223652699	0.0032991862260163415
0.3247251852420147	0.0037844252241017386
0.3250500728439716	0.003456238086161316
0.32537528549602773	0.003440831344903937
0.32570082352339647	0.0031572497125166143
0.32602668725161615	0.0028143198458326613
0.3263528770065502	0.0026224067195341674
0.32667939311438926	0.003342513104858224
0.3270062359016485	0.0033139305136071482
0.3273334056951695	0.0037401232199634807
0.32766090282212285	0.0031043284813789484
0.32798872761000714	0.0029833592290712065
0.32831688038664697	0.0030062928782769002
0.32864536148019385	0.0034960798237346556
0.3289741712191297	0.0027982443572624046
0.32930330993226514	0.003548756483909877
0.32963277794873797	0.0029069515481928852
0.32996257559801523	0.004926086338021463
0.33029270320989507	0.016953731890478167
0.3306231611145066	0.007816454817311216
0.3309539496423071	0.0039725544166601505
0.3312850691240847	0.00316323762112515
0.33161651989095925	0.0030281051120568327
0.3319483022743805	0.0026543733758379595
0.3322804166061314	0.002545287766088201
0.3326128632183269	0.0029250299649560556
0.3329456424434135	0.002773211788476991
0.3332787546141702	0.003505473213587076
0.33361220006370884	0.004009996906614057
0.333945979125476	0.0031343422644163335
0.3342800921332507	0.003980724686023787
0.3346145394211455	0.002639205524692114
0.33494932132360705	0.002919509272106737
0.33528443817541764	0.002899509950581674
0.3356198903116948	0.0036175247076465395
0.33595567806788895	0.0028578382985603636
0.33629180177978923	0.003419191354025456
0.33662826178351984	0.003347787588587487
0.3369650584155399	0.003356158642706321
0.33730219201264616	0.004530645170147277
0.337639662911973	0.0028319627581981114
0.33797747145099094	0.004485841819030069
0.3383156179675081	0.0032400151707786032
0.3386541027996724	0.0036283703469902518
0.3389929262859681	0.0030583560398514975
0.3393320887652174	0.003768281754183221
0.33967159057658325	0.003739522350494428
0.3400114320595682	0.0040017633097361545
0.34035161355401444	0.0037936440590878254
0.34069213540010307	0.005304457265427215
0.34103299793835534	0.003134086007991298
0.34137420150963343	0.0032848675849282997
0.3417157464551409	0.003594712415520073
0.3420576331164234	0.003449920968140904
0.3423998618353671	0.004119792123448959
0.3427424329542007	0.005580424138314307
0.34308534681549624	0.0033095899370132677
0.3434286037621676	0.0031728983214925383
0.3437722041374721	0.0030681333223780086
0.34411614828500847	0.010096755215807718
0.3444604365487217	0.006516168690842939
0.34480506927290067	0.004006437570612134
0.34515004680217665	0.004040488884494361
0.3454953694815278	0.0041234023704750855
0.34584103765627777	0.0033388389711525254
0.34618705167209435	0.0035577043751448536
0.3465334118749911	0.005788558182329554
0.3468801186113284	0.004191675838530663
0.34722717222781396	0.0035665016723603836
0.3475745730715008	0.006993794774809438
0.34792232148978935	0.005726126310800561
