# pl_name: name of planet,,,,,,,,,,,,,,,
# st_name: name of host star,,,,,,,,,,,,,,,
# pl_period: orbital period (days),,,,,,,,,,,,,,,
"# pl_orb: semi-major axis of the orbit (au) (in cases where not measured, it is fitted with (pl_period*24*60*60)**(2/3)/(4*PI**2/(6.67408*1e-11*(st_mass*1.98847*1e30)))**(1/3)/149597870691.0",,,,,,,,,,,,,,,
# pl_radE: radius of planet (Earth),,,,,,,,,,,,,,,
pl_radJ: radius of planet (Jupiter),,,,,,,,,,,,,,,
"pl_massE: mass of planet (Earth) (in cases where not measured, it is fitted assuming Earth-like density)",,,,,,,,,,,,,,,
pl_g: gravitational acceleration of the planet,,,,,,,,,,,,,,,
pl_teff: effective temperature of the planet (Dayside  distributed  pl_teff=st_teff*((st_rad*0.00465047)/(pl_orb))**0.5*(2/3)**0.25),,,,,,,,,,,,,,,
st_teff: effective temperature of the host star,,,,,,,,,,,,,,,
st_rad: radius of the host star,,,,,,,,,,,,,,,
st_mass: mass of the host star,,,,,,,,,,,,,,,
pl_subT: effective temperature of the planet (Substellar no distribution pl_teff=st_teff*((st_rad*0.00465047)/(pl_orb))**0.5*(1)**0.25),,,,,,,,,,,,,,,
distance: target distance from Earth (pc),,,,,,,,,,,,,,,
magJ: apparent magnitude of the target (J),,,,,,,,,,,,,,,
reference: references for parameters of the system,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
pl_name,st_name,pl_period,pl_orb,pl_radE,pl_radJ,pl_massE,pl_g,pl_teff,pl_subT,st_rad,st_mass,st_teff,distance,magJ,reference
55 Cnc e,55Cnc,0.736547,0.0154,1.875,0.167,7.99,2231.696,2489,2755,0.94,0.91,5172,12.585,4.768,Bourrier et al. 2018
CoRoT-7 b,CoRoT-7,0.853592,0.0172,1.681,0.15,4.07661,1416.624,2257,2498,0.83,0.82,5275,159.906,10.301,Stassun et al. 2017
EPIC 201757695.02,EPIC201757695,2.0478,0.0296,0.908,0.081,0.708446,843.7731,1315,1455,0.66,0.73,4520,577.6,12.856,del Ser & Fors 2020
EPIC 201841433 b,EPIC201841433,4.1698,0.035,1.04,0.093,1.150359,1044.377,1321,1461,0.63,0.8,5053,436.488,13.06,del Ser &amp; Fors 2020
EPIC 205950854 c,K2-168,8.050722,0.0623,1.31,0.117,2.623168,1500.978,1237,1369,0.83,0.88,5503,243.935,10.957,Hedges et al. 2019
EPIC 206317286 b,EPIC206317286,1.58252,0.025,1.086,0.097,1.342653,1117.879,1612,1784,0.758,0.832,4752,314.35,12.258,Heller et al. 2019
EPIC 212297394 b,EPIC212297394,2.28943,0.0333,1.342,0.12,2.859295,1558.995,1472,1629,0.761,0.939,4998,418.395,12.735,Heller et al. 2019
EPIC 220554210 c,K2-282,0.70531,0.0153,1.361,0.121,3.006524,1593.82,2633,2914,0.929,0.951,5484,496.289,12.437,Heller et al. 2019
EPIC 220674823 b,EPIC220674823,0.571331,0.0134,1.82,0.162,8.360954,2478.585,2959,3275,0.98,0.97,5617,244.59,10.77,Livingston et al. 2018
EPIC 249893012 b,EPIC249893012,3.5951,0.047,1.95,0.174,8.75,2259.59,2018,2233,1.71,1.05,5430,321.296,10.216,Hidalgo et al. 2020
GJ 1252 b,GJ1252,0.518235,0.0092,1.193,0.106,2.09,1441.97,1387,1535,0.39,0.38,3458,20.373,8.697,Shporer et al. 2020
GJ 9827 b,GJ9827,1.208982,0.0188,1.577,0.141,4.91,1938.692,1510,1671,0.6,0.61,4340,29.661,7.984,Rice et al. 2019
GJ 9827 c,GJ9827,3.648096,0.0393,1.241,0.111,0.84,535.5827,1044,1156,0.6,0.61,4340,29.661,7.984,Rice et al. 2019
HD 108236 b,HD108236,3.795963,0.0453,1.615,0.144,5.539535,2085.543,1537,1701,0.88,0.87,5660,64.598,8.046,Bonfanti et al. 2021
HD 136352 b,HD136352,11.57779,0.0969,1.482,0.132,4.62,2065.553,1163,1287,1.01,0.91,5850,14.682,4.308,Kane et al. 2020
HD 15337 b,HD15337,4.75615,0.0522,1.64,0.146,7.51,2741.846,1281,1418,0.86,0.9,5125,44.816,7.553,Gandolfi et al. 2019
HD 158259 b,HD158259,2.178,0.0337,1.358,0.121,2.22,,2142,2370,1.21,1.08,5802,27.05,5.269,Hara et al. 2020
HD 213885 b,HD213885,1.008035,0.0201,1.745,0.156,8.83,2847.48,2725,3015,1.1,1.07,5978,48.088,6.806,Espinoza et al. 2020
HD 219134 b,HD219134,3.092926,0.0388,1.602,0.143,4.74,1813.611,1298,1436,0.78,0.81,4699,6.531,3.981,Gillon et al. 2017
HD 3167 b,HD3167,0.959624,0.0186,1.7,0.152,5.022931,1706.672,2329,2578,0.87,0.94,5528,47.29,7.548,Livingston et al. 2018
HD 80653 b,HD80653,0.719573,0.0166,1.613,0.144,5.6,2113.538,3143,3478,1.22,1.18,5950,109.86,8.315,Frustagli et al. 2020
HR 858 c,HR858,5.97293,0.0674,1.939,0.173,10.64299,2779.705,1684,1864,1.31,1.15,6201,31.964,5.473,Vanderburg et al. 2019
K2-104 b,K2-104,1.974238,0.023,1.96,0.175,11.06042,2827.16,1008,1116,0.49,0.43,3546,189.289,12.878,Dressing et al. 2017
K2-111 b,K2-111,5.3518,0.057,1.82,0.162,5.29,1568.208,1666,1844,1.25,0.84,5775,200.394,9.768,Mortier et al. 2020
K2-122 b,K2-122,2.219282,0.0285,1.21,0.108,1.975432,1324.897,1138,1260,0.6,0.62,4027,72.044,10.104,Livingston et al. 2018
K2-128 b,K2-128,5.675819,0.056,1.42,0.127,3.498541,1703.731,1027,1137,0.78,0.71,4470,114.637,10.491,Dressing et al. 2017
K2-130 b,K2-130,2.49412,0.032,1.25,0.112,2.218744,1394.37,1290,1428,0.74,0.7,4356,118.011,10.562,Dressing et al. 2017
K2-131 b,K2-131,0.36931,0.0095,1.7,0.152,6.65322,2260.606,2871,3178,0.75,0.84,5245,152.509,10.57,Livingston et al. 2018
K2-137 b,K2-137,0.179715,0.0058,0.89,0.079,0.659553,817.6375,1874,2074,0.44,0.46,3492,98.876,11.764,Smith et al. 2018
K2-138 b,K2-138,2.35309,0.0339,1.51,0.135,3.1,1335.053,1662,1839,0.86,0.94,5356,202.585,10.756,Lopez et al. 2019
K2-141 b,K2-141,0.280324,0.0075,1.51,0.135,5.08,2187.765,2698,2986,0.68,0.71,4599,61.874,9.086,Malavolta et al. 2018
K2-147 b,K2-147,0.961917,0.0159,1.38,0.123,3.159135,1628.924,1330,1472,0.55,0.58,3672,90.549,10.835,Hirano et al. 2018
K2-156 b,K2-156,0.81314,0.0149,1.15,0.103,1.64732,1223.131,1885,2086,0.66,0.66,4597,150.21,11.139,Livingston et al. 2018
K2-157 b,K2-157,0.365257,0.0098,1.055,0.094,1.210722,1068.145,3185,3525,0.88,0.94,5456,298.373,11.398,Mayo et al. 2018
K2-158 c,K2-158,5.90279,0.0622,1.28,0.114,2.414864,1447.317,1325,1466,0.95,0.92,5503,197.299,10.432,Livingston et al. 2018
