#Wavelength (cm)	Flux (erg s-1 cm-3)
1.0423623508895005e-05	58024706456.66236
1.0428835320649452e-05	57717056488.47654
1.0434049738309776e-05	57409252695.30657
1.043926676317893e-05	57101295000.24004
1.0444486396560519e-05	56793183326.32602
1.0449708639758799e-05	56484917596.574974
1.0454933494078678e-05	56176497733.95909
1.0460160960825716e-05	55867923661.41193
1.0465391041306128e-05	55559195301.828476
1.047062373682678e-05	55250312578.0652
1.0475859048695193e-05	54941275412.94009
1.048109697821954e-05	54632083729.23239
1.0486337526708649e-05	54322737449.68281
1.0491580695472002e-05	54013236496.99351
1.0496826485819737e-05	53703580793.82786
1.0502074899062647e-05	53393770262.81054
1.0507325936512178e-05	53083804826.52773
1.0512579599480434e-05	52773684407.5268
1.0517835889280174e-05	52463408928.31634
1.0523094807224814e-05	52152978311.36631
1.0528356354628426e-05	51842392479.10779
1.053362053280574e-05	51531651353.93316
1.0538887343072141e-05	51220754858.19599
1.0544156786743677e-05	50909702914.21087
1.054942886513705e-05	50598495444.25377
1.0554703579569616e-05	50287132370.56176
1.0559980931359401e-05	49975613615.332825
1.056526092182508e-05	49663939100.72633
1.0570543552285992e-05	49352108748.86248
1.0575828824062135e-05	49040122481.82273
1.0581116738474165e-05	48727980221.64946
1.0586407296843401e-05	48415681890.34615
1.0591700500491821e-05	48103227409.87719
1.0596996350742067e-05	47790616702.16794
1.0602294848917437e-05	47688712664.927315
1.0607595996341894e-05	47862887008.30094
1.0612899794340065e-05	48037148438.8463
1.0618206244237235e-05	48211497000.10695
1.0623515347359354e-05	48385932735.64822
1.0628827105033032e-05	48560455689.05721
1.0634141518585548e-05	48735065903.942955
1.063945858934484e-05	48909763423.93613
1.0644778318639512e-05	49084548292.68928
1.0650100707798832e-05	49259420553.87684
1.0655425758152731e-05	49434380251.19499
1.0660753471031808e-05	49609427428.36181
1.0666083847767323e-05	49784562129.11718
1.0671416889691207e-05	49959784397.22296
1.0676752598136052e-05	50135094276.46279
1.068209097443512e-05	50310491810.642235
1.0687432019922336e-05	50485977043.58873
1.0692775735932296e-05	50661550019.15169
1.0698122123800262e-05	50837210781.202484
1.0703471184862162e-05	51012959373.63427
1.0708822920454592e-05	51188795840.36227
1.0714177331914817e-05	51364720225.323616
1.0719534420580774e-05	51540732572.477455
1.0724894187791063e-05	51716832925.804886
1.0730256634884958e-05	51893021329.30896
1.07356217632024e-05	52069297827.014824
1.0740989574084001e-05	52245662462.96954
1.0746360068871043e-05	52422115281.24223
1.0751733248905478e-05	52598656325.92406
1.075710911552993e-05	52775285641.1282
1.0762487670087694e-05	52952003270.98996
1.0767868913922737e-05	53128809259.666664
1.0773252848379699e-05	53305703651.33771
1.0778639474803887e-05	53482686490.20455
1.0784028794541288e-05	53659757820.49082
1.0789420808938557e-05	53836917686.442245
1.0794815519343025e-05	54014166132.32664
1.0800212927102695e-05	54191503202.43398
1.0805613033566246e-05	54368928941.07639
1.0811015840083028e-05	54546443392.588104
1.0816421348003069e-05	54724046601.3256
1.082182955867707e-05	54901738611.66746
1.0827240473456408e-05	55079519468.01448
1.0832654093693135e-05	55257389214.78966
