#Wavelength (cm)	Flux (erg s-1 cm-3)
1.0671416889691207e-05	9181318297.316525
1.0676752598136052e-05	9213535726.222294
1.068209097443512e-05	9245769263.842512
1.0687432019922336e-05	9278018918.231533
1.0692775735932296e-05	9310284697.44775
1.0698122123800262e-05	9342566609.553583
1.0703471184862162e-05	9374864662.615463
1.0708822920454592e-05	9407178864.703873
1.0714177331914817e-05	9439509223.893324
1.0719534420580774e-05	9471855748.262373
1.0724894187791063e-05	9504218445.893608
1.0730256634884958e-05	9536597324.873655
1.07356217632024e-05	9568992393.2932
1.0740989574084001e-05	9601403659.246954
1.0746360068871043e-05	9633831130.833685
1.0751733248905478e-05	9666274816.156208
1.075710911552993e-05	9698734723.321388
1.0762487670087694e-05	9731210860.440153
1.0767868913922737e-05	9763703235.627481
1.0773252848379699e-05	9796211857.002403
1.0778639474803887e-05	9828736732.688005
1.0784028794541288e-05	9861277870.81145
1.0789420808938557e-05	9893835279.503956
1.0794815519343025e-05	9926408966.90081
1.0800212927102695e-05	9958998941.141361
1.0805613033566246e-05	9991605210.369038
1.0811015840083028e-05	10024227782.731323
1.0816421348003069e-05	10056866666.379795
1.082182955867707e-05	10089521869.470089
1.0827240473456408e-05	10122193400.161928
1.0832654093693135e-05	10154881266.61911
1.0838070420739981e-05	10187585477.009527
1.084348945595035e-05	10220306039.505133
1.0848911200678325e-05	10253042962.281994
1.0854335656278664e-05	10285796253.520243
1.0859762824106803e-05	10318565921.40411
1.0865192705518855e-05	10351351974.121912
1.0870625301871615e-05	10384154419.866083
1.087606061452255e-05	10416973266.833124
1.0881498644829812e-05	10449808523.22365
1.0886939394152226e-05	10482660197.242365
1.08923828638493e-05	10515528297.09809
1.0897829055281224e-05	10548412831.00374
1.0903277969808865e-05	10581313807.176352
1.0908729608793769e-05	10614231233.837046
1.0914183973598165e-05	10647165119.21107
1.0919641065584963e-05	10680115471.527777
1.0925100886117754e-05	10713082299.020641
1.0930563436560812e-05	10746065609.927252
1.0936028718279092e-05	10779065412.489325
1.0941496732638231e-05	10812081714.952675
1.094696748100455e-05	10845114525.56726
1.0952440964745053e-05	10878163852.587154
1.0957917185227426e-05	10911229704.270555
1.0963396143820038e-05	10944312088.879793
1.0968877841891948e-05	10977411014.681343
1.0974362280812893e-05	11010526489.945786
1.09798494619533e-05	11043658522.947865
1.0985339386684276e-05	11076807121.966446
1.0990832056377618e-05	11109972295.284536
1.0996327472405806e-05	11143154051.18929
1.1001825636142008e-05	11176352397.971985
1.1007326548960078e-05	11209567343.92807
1.1012830212234557e-05	11242798897.357136
1.1018336627340674e-05	11276047066.562925
1.1023845795654344e-05	11309311859.85331
1.102935771855217e-05	11342593285.540339
1.1034872397411445e-05	11375891351.940214
1.104038983361015e-05	11409206067.373287
1.1045910028526954e-05	11442537440.164078
1.1051432983541217e-05	11475885478.641266
1.1056958700032988e-05	11509250191.137693
1.1062487179383003e-05	11542631585.990368
1.1068018422972694e-05	11576029671.540466
1.1073552432184181e-05	11609444456.133347
1.1079089208400273e-05	11642875948.118525
1.1084628753004472e-05	11676324155.849688
