#Wavelength (cm)	Flux (erg s-1 cm-3)
1.0714177331914817e-05	73749720034.89423
1.0719534420580774e-05	73749720034.89423
1.0724894187791063e-05	73749720034.89423
1.0730256634884958e-05	73749720034.89423
1.07356217632024e-05	73749720034.89423
1.0740989574084001e-05	73749720034.89423
1.0746360068871043e-05	73749720034.89423
1.0751733248905478e-05	73749720034.89423
1.075710911552993e-05	73749720034.89423
1.0762487670087694e-05	73749720034.89423
1.0767868913922737e-05	73749720034.89423
1.0773252848379699e-05	73749720034.89423
1.0778639474803887e-05	73749720034.89423
1.0784028794541288e-05	73749720034.89423
1.0789420808938557e-05	73749720034.89423
1.0794815519343025e-05	73749720034.89423
1.0800212927102695e-05	73749720034.89423
1.0805613033566246e-05	73749720034.89423
1.0811015840083028e-05	73749720034.89423
1.0816421348003069e-05	73749720034.89423
1.082182955867707e-05	73749720034.89423
1.0827240473456408e-05	73749720034.89423
1.0832654093693135e-05	73749720034.89423
1.0838070420739981e-05	73749720034.89423
1.084348945595035e-05	73749720034.89423
1.0848911200678325e-05	73749720034.89423
1.0854335656278664e-05	73749720034.89423
1.0859762824106803e-05	73749720034.89423
1.0865192705518855e-05	73749720034.89423
1.0870625301871615e-05	73749720034.89423
1.087606061452255e-05	73749720034.89423
1.0881498644829812e-05	73749720034.89423
1.0886939394152226e-05	73749720034.89423
1.08923828638493e-05	73749720034.89423
1.0897829055281224e-05	73749720034.89423
1.0903277969808865e-05	73749720034.89423
1.0908729608793769e-05	73749720034.89423
1.0914183973598165e-05	73749720034.89423
1.0919641065584963e-05	73749720034.89423
1.0925100886117754e-05	73749720034.89423
1.0930563436560812e-05	73749720034.89423
1.0936028718279092e-05	73749720034.89423
1.0941496732638231e-05	73749720034.89423
1.094696748100455e-05	73749720034.89423
1.0952440964745053e-05	73749720034.89423
1.0957917185227426e-05	73749720034.89423
1.0963396143820038e-05	73749720034.89423
1.0968877841891948e-05	73749720034.89423
1.0974362280812893e-05	73749720034.89423
1.09798494619533e-05	73749720034.89423
1.0985339386684276e-05	73749720034.89423
1.0990832056377618e-05	73749720034.89423
1.0996327472405806e-05	73749720034.89423
1.1001825636142008e-05	73749720034.89423
1.1007326548960078e-05	73749720034.89423
1.1012830212234557e-05	73749720034.89423
1.1018336627340674e-05	73749720034.89423
1.1023845795654344e-05	73749720034.89423
1.102935771855217e-05	73749720034.89423
1.1034872397411445e-05	73749720034.89423
1.104038983361015e-05	73749720034.89423
1.1045910028526954e-05	73749720034.89423
1.1051432983541217e-05	73749720034.89423
1.1056958700032988e-05	73749720034.89423
1.1062487179383003e-05	73749720034.89423
1.1068018422972694e-05	73749720034.89423
1.1073552432184181e-05	73749720034.89423
1.1079089208400273e-05	73749720034.89423
1.1084628753004472e-05	73749720034.89423
1.1090171067380975e-05	73749720034.89423
1.1095716152914665e-05	73749720034.89423
1.1101264010991121e-05	73749720034.89423
1.1106814642996617e-05	73749720034.89423
1.1112368050318114e-05	73749720034.89423
1.1117924234343272e-05	73749720034.89423
1.1123483196460444e-05	73749720034.89423
1.1129044938058674e-05	73749720034.89423
1.1134609460527703e-05	73749720034.89423
1.1140176765257967e-05	73749720034.89423
1.1145746853640595e-05	73749720034.89423
1.1151319727067415e-05	73749720034.89423
1.1156895386930948e-05	73749720034.89423
1.1162473834624412e-05	73749720034.89423
1.1168055071541723e-05	73749720034.89423
1.1173639099077494e-05	73749720034.89423
1.1179225918627031e-05	73749720034.89423
1.1184815531586344e-05	73749720034.89423
1.1190407939352137e-05	73749720034.89423
1.1196003143321812e-05	73749720034.89423
1.1201601144893474e-05	73749720034.89423
1.120720194546592e-05	73749720034.89423
1.1212805546438653e-05	73749720034.89423
1.1218411949211871e-05	73749720034.89423
1.1224021155186477e-05	73749720034.89423
1.122963316576407e-05	73749720034.89423
1.123524798234695e-05	73749720034.89423
1.1240865606338124e-05	73749720034.89423
1.1246486039141292e-05	73749720034.89423
1.1252109282160862e-05	73749720034.89423
1.1257735336801943e-05	73749720034.89423
1.1263364204470343e-05	73749720034.89423
1.1268995886572577e-05	73749720034.89423
1.1274630384515862e-05	73749720034.89423
1.128026769970812e-05	73749720034.89423
1.1285907833557973e-05	73749720034.89423
1.1291550787474753e-05	73749720034.89423
1.129719656286849e-05	73749720034.89423
1.1302845161149923e-05	73749720034.89423
1.1308496583730498e-05	73749720034.89423
1.1314150832022364e-05	73749720034.89423
1.1319807907438374e-05	73749720034.89423
1.1325467811392093e-05	73749720034.89423
1.1331130545297788e-05	73749720034.89423
1.1336796110570436e-05	73749720034.89423
1.1342464508625721e-05	73749720034.89423
1.1348135740880034e-05	73749720034.89423
1.1353809808750473e-05	73749720034.89423
1.1359486713654847e-05	73749720034.89423
1.1365166457011674e-05	73749720034.89423
1.137084904024018e-05	73749720034.89423
1.1376534464760298e-05	73749720034.89423
1.1382222731992677e-05	73749720034.89423
1.1387913843358673e-05	73749720034.89423
1.1393607800280352e-05	73749720034.89423
1.1399304604180492e-05	73749720034.89423
1.1405004256482582e-05	73749720034.89423
1.1410706758610823e-05	73749720034.89423
1.1416412111990127e-05	73749720034.89423
1.1422120318046121e-05	73749720034.89423
1.1427831378205143e-05	73749720034.89423
1.1433545293894245e-05	73749720034.89423
1.1439262066541192e-05	73749720034.89423
1.1444981697574463e-05	73749720034.89423
1.145070418842325e-05	73749720034.89423
1.145642954051746e-05	73749720034.89423
1.1462157755287718e-05	73749720034.89423
1.1467888834165361e-05	73749720034.89423
1.1473622778582443e-05	73749720034.89423
1.1479359589971733e-05	73749720034.89423
1.1485099269766717e-05	73749720034.89423
1.14908418194016e-05	73749720034.89423
1.14965872403113e-05	73749720034.89423
1.1502335533931454e-05	73749720034.89423
1.150808670169842e-05	73749720034.89423
1.1513840745049268e-05	73749720034.89423
1.1519597665421793e-05	73749720034.89423
1.1525357464254503e-05	73749720034.89423
1.153112014298663e-05	73749720034.89423
1.1536885703058124e-05	73749720034.89423
1.1542654145909653e-05	73749720034.89423
1.1548425472982608e-05	73749720034.89423
1.1554199685719098e-05	73749720034.89423
1.1559976785561957e-05	73749720034.89423
1.1565756773954738e-05	73749720034.89423
1.1571539652341714e-05	73749720034.89423
1.1577325422167884e-05	73749720034.89423
1.1583114084878967e-05	73749720034.89423
1.1588905641921406e-05	73749720034.89423
1.1594700094742366e-05	73749720034.89423
1.1600497444789737e-05	73749720034.89423
1.1606297693512132e-05	73749720034.89423
1.1612100842358887e-05	73749720034.89423
1.1617906892780066e-05	73749720034.89423
1.1623715846226455e-05	73749720034.89423
1.1629527704149566e-05	73749720034.89423
1.1635342468001641e-05	73749720034.89423
1.1641160139235642e-05	73749720034.89423
1.1646980719305258e-05	73749720034.89423
1.165280420966491e-05	73749720034.89423
1.1658630611769742e-05	73749720034.89423
1.1664459927075626e-05	73749720034.89423
1.1670292157039162e-05	73749720034.89423
1.1676127303117681e-05	73749720034.89423
1.1681965366769239e-05	73749720034.89423
1.1687806349452622e-05	73749720034.89423
1.1693650252627349e-05	61464483091.10194
1.1699497077753663e-05	44832847702.44199
1.170534682629254e-05	23099132040.282505
1.1711199499705686e-05	8048983940.53565
1.1717055099455538e-05	6712788646.363121
1.1722913627005265e-05	6629942099.504365
1.1728775083818767e-05	7315142338.758619
1.1734639471360677e-05	6526245887.532188
1.1740506791096357e-05	10556990221.544437
1.1746377044491905e-05	33352183506.096233
1.175225023301415e-05	69786499385.30292
1.1758126358130656e-05	119562444890.5528
1.176400542130972e-05	78730077172.42242
1.1769887424020375e-05	21456728871.017387
1.1775772367732385e-05	13749978248.47218
1.178166025391625e-05	8293209345.338465
1.1787551084043208e-05	6156116630.012001
1.179344485958523e-05	6097107681.600923
1.1799341582015021e-05	6877564222.504767
1.1805241252806028e-05	5406257771.032877
1.181114387343243e-05	4251944711.01177
1.1817049445369146e-05	3785735510.2101364
1.182295797009183e-05	4614713538.594359
1.1828869449076875e-05	6229980816.516143
1.1834783883801413e-05	6707086650.242983
1.1840701275743313e-05	7263211212.355537
1.1846621626381185e-05	8337686511.137442
1.1852544937194374e-05	7915818620.692267
1.1858471209662971e-05	6274552563.959708
1.1864400445267801e-05	5887734627.387498
1.1870332645490434e-05	5843881300.931124
1.1876267811813178e-05	6471632942.97859
1.1882205945719084e-05	6571216716.513323
1.1888147048691942e-05	6126612244.613447
1.1894091122216287e-05	9780514259.23357
1.1900038167777395e-05	13819511396.517328
1.1905988186861282e-05	13875905945.083687
1.1911941180954712e-05	12427860512.320919
1.1917897151545189e-05	9117491773.917585
1.192385610012096e-05	10521774321.790276
1.192981802817102e-05	13382698729.06039
1.1935782937185104e-05	16551003716.583336
1.1941750828653696e-05	19759730964.90578
1.1947721704068023e-05	23025049583.746326
1.1953695564920056e-05	16696726199.643314
1.1959672412702514e-05	7728934467.252316
1.1965652248908865e-05	9440860879.82348
1.1971635075033319e-05	11413983146.406656
1.1977620892570834e-05	13789248263.583935
1.1983609703017119e-05	14854058496.985117
1.1989601507868626e-05	15421348671.122314
1.199559630862256e-05	16071851536.454063
1.200159410677687e-05	16529053105.48381
1.2007594903830259e-05	16678161261.437078
1.2013598701282173e-05	14925336979.28813
1.2019605500632813e-05	12423568314.557428
1.2025615303383129e-05	9820819993.387445
1.203162811103482e-05	9513668693.548903
1.2037643925090337e-05	12792291306.737278
1.2043662747052882e-05	14729820617.348515
1.2049684578426408e-05	17429358250.259193
1.205570942071562e-05	37655029743.632904
1.2061737275425978e-05	110171890840.79352
1.206776814406369e-05	258717553131.35953
1.207380202813572e-05	170465247756.55978
1.2079838929149788e-05	19074030459.24468
1.2085878848614362e-05	25606009333.507393
1.2091921788038669e-05	31106460438.682392
1.2097967748932688e-05	35276984491.69572
1.2104016732807153e-05	43646407583.21344
1.2110068741173555e-05	55439060187.29649
1.2116123775544141e-05	82294373354.9884
1.2122181837431912e-05	122673750055.08661
1.2128242928350628e-05	177773237768.48962
1.2134307049814803e-05	368293506387.5038
1.2140374203339709e-05	2187986336324.2866
1.2146444390441378e-05	11287057785691.791
1.2152517612636599e-05	57632960968994.14
1.2158593871442915e-05	136630922662781.64
1.2164673168378635e-05	67685170861958.33
1.2170755504962824e-05	1064081206737.3455
1.2176840882715304e-05	579251029900.3163
1.218292930315666e-05	303372066392.1214
1.2189020767808237e-05	167221478015.5631
1.2195115278192141e-05	112191150398.1138
1.2201212835831237e-05	71335379079.49884
1.2207313442249152e-05	53300130626.31727
1.2213417098970276e-05	41668899288.77332
1.221952380751976e-05	33236533386.368355
1.2225633569423519e-05	28532769683.15105
1.2231746386208229e-05	24199865599.75238
1.2237862259401332e-05	20416750863.287746
1.2243981190531032e-05	19121089176.896923
1.2250103181126296e-05	18107114913.74786
1.2256228232716859e-05	14075960036.703915
1.2262356346833217e-05	12047234153.641214
1.2268487525006632e-05	12006588981.381678
1.2274621768769134e-05	10628237272.224436
1.2280759079653519e-05	9445865041.310461
1.2286899459193345e-05	9507723252.03584
1.2293042908922942e-05	9343620166.543894
1.2299189430377402e-05	9036418195.248861
1.2305339025092591e-05	9118634820.219244
1.2311491694605136e-05	8878713712.6285
1.2317647440452437e-05	8054048580.963664
1.2323806264172663e-05	7732568178.367405
1.2329968167304748e-05	7506404235.24891
1.23361331513884e-05	6594302245.079294
1.2342301217964093e-05	7037078430.15814
1.2348472368573074e-05	8892242841.701233
1.235464660475736e-05	7724424032.503144
1.2360823928059738e-05	6052674288.167587
1.2367004340023766e-05	4235370673.4396415
1.2373187842193778e-05	3630713092.7405787
1.2379374436114875e-05	4147745206.9389305
1.2385564123332932e-05	31382388839.208908
1.2391756905394598e-05	37396162935.381294
1.2397952783847296e-05	11546264632.719666
1.2404151760239219e-05	5660216242.519466
1.2410353836119338e-05	5951582887.337402
1.2416559013037397e-05	9761933300.4166
1.2422767292543915e-05	16756836671.12614
1.2428978676190187e-05	26239353449.887245
1.2435193165528281e-05	14996559117.102053
1.2441410762111045e-05	6494626805.08058
1.24476314674921e-05	5283917432.264898
1.2453855283225845e-05	4543316644.069774
1.2460082210867458e-05	4185103062.178381
1.2466312251972892e-05	5267962253.841946
1.2472545408098878e-05	6410442874.480644
1.2478781680802926e-05	7607207371.216951
1.2485021071643326e-05	6505938993.2548065
1.2491263582179147e-05	5336583476.151814
1.2497509213970236e-05	4450087614.785267
1.2503757968577221e-05	6217774954.449123
1.251000984756151e-05	8218696781.413098
1.2516264852485289e-05	4033070925.991295
1.2522522984911531e-05	2492062491.268244
1.2528784246403987e-05	3411879712.2936134
1.2535048638527189e-05	9021779800.269472
1.2541316162846452e-05	11847076455.941105
1.2547586820927875e-05	8041682316.635456
1.2553860614338339e-05	6524284783.620231
1.2560137544645507e-05	6216487254.217099
1.2566417613417829e-05	8207168203.265514
1.2572700822224537e-05	7697111713.5449
1.2578987172635649e-05	5092758667.623993
1.2585276666221966e-05	9013261942.428297
1.2591569304555077e-05	14445417392.14802
1.2597865089207355e-05	21963925664.101406
1.2604164021751957e-05	22386424250.33642
1.2610466103762833e-05	19322832537.073006
1.2616771336814713e-05	10092893179.73458
1.2623079722483119e-05	4670900152.607109
1.2629391262344359e-05	1831417920.1650255
1.263570595797553e-05	2731079757.774753
1.2642023810954517e-05	24836378000.29746
1.2648344822859993e-05	74583555352.77403
1.2654668995271423e-05	41371398683.25724
1.2660996329769058e-05	6203220263.401059
